Dataset	Pearson Cor	Pearson p-value	Spearman Cor	Spearman p-value	Out-Of-Vocabulary words ratio	Epoch
wordsim353	0.1132995300449899	0.09911969592166296	0.0746738701839614	0.27795190354149607	39.6600566572238	1
SimLexScores	0.10503676901905783	0.01035243081557963	0.12438361274557487	0.0023699204250813488	40.44044044044044	1
MayoTerms	0.3581096721324062	0.07879726872137532	0.25462279840616414	0.21933268177885226	75.24752475247524	1
UMNSRS_relatedness_Terms	0.05225498351153361	0.5296246655174375	0.002975108260885264	0.9714710065315884	74.95741056218058	1
UMNSRS_similarity_Terms	0.09835023387495849	0.21308699570687814	0.06860280824266785	0.3857052210041788	71.37809187279152	1
wordsim353	0.13075631602983773	0.05674314855489158	0.08012615831864373	0.2442641197191077	39.6600566572238	2
SimLexScores	0.15025530598526596	0.00023477905216457554	0.17189351346972317	2.4918911331109126e-05	40.44044044044044	2
MayoTerms	0.3848176823272333	0.057502560807076136	0.2923732284270478	0.15612235640390293	75.24752475247524	2
UMNSRS_relatedness_Terms	0.06422596450784604	0.4396116419010656	-0.0003872363133215741	0.9962859323527806	74.95741056218058	2
UMNSRS_similarity_Terms	0.10939261143454283	0.16583203245666614	0.07195892497004477	0.3628353284650705	71.37809187279152	2
wordsim353	0.14243805326067444	0.0377844641489637	0.07942886648681953	0.24840617603719448	39.6600566572238	3
SimLexScores	0.16930569007888188	3.3083858457892474e-05	0.1996119685015269	9.186897821287672e-07	40.44044044044044	3
MayoTerms	0.40684080990994	0.043557122625695555	0.33050886691753234	0.1066006891213726	75.24752475247524	3
UMNSRS_relatedness_Terms	0.08701485288924037	0.2946469601268475	0.007914732452767782	0.9242009957063346	74.95741056218058	3
UMNSRS_similarity_Terms	0.1384968583321808	0.07881434069689869	0.0883626864176065	0.26350160674462775	71.37809187279152	3
wordsim353	0.15255282400496137	0.025988653709717247	0.0873493069202562	0.20417444056208253	39.6600566572238	4
SimLexScores	0.17421312522195062	1.9260195100786328e-05	0.20732810630672865	3.357595744199211e-07	40.44044044044044	4
MayoTerms	0.43984475941587964	0.027794784549655813	0.40292805920249275	0.045817214385663024	75.24752475247524	4
UMNSRS_relatedness_Terms	0.10945871767304227	0.18691642166991781	0.033381659165945654	0.6881345707683207	74.95741056218058	4
UMNSRS_similarity_Terms	0.16174694544606263	0.03975155724983766	0.115793083689809	0.14228542704415384	71.37809187279152	4
wordsim353	0.17148279999205046	0.012190642342061847	0.09893627296982987	0.15016088879903655	39.6600566572238	5
SimLexScores	0.17649109977376704	1.4906644541555481e-05	0.21334189015092042	1.4913342326257343e-07	40.44044044044044	5
MayoTerms	0.44308215137351425	0.026536502856475876	0.3975351406280809	0.04908211180321241	75.24752475247524	5
UMNSRS_relatedness_Terms	0.13150454425814861	0.11235426349840939	0.056500611550056604	0.49667623195106414	74.95741056218058	5
UMNSRS_similarity_Terms	0.1811210448599333	0.021079697813965754	0.12965505950826822	0.10009168447211923	71.37809187279152	5
wordsim353	0.1904824030956934	0.005283446391268154	0.12120801002744513	0.07755088585554437	39.6600566572238	6
SimLexScores	0.17695289603297976	1.4146492575108302e-05	0.21113934651794505	2.0130892058817022e-07	40.44044044044044	6
MayoTerms	0.4575706580450371	0.021455102043386708	0.4152547302297201	0.03899460352533872	75.24752475247524	6
UMNSRS_relatedness_Terms	0.1417161662587922	0.08685952592077067	0.0720807340489656	0.38561275499184544	74.95741056218058	6
UMNSRS_similarity_Terms	0.19469229881228164	0.013041147571176682	0.15175913864375062	0.05387974084594703	71.37809187279152	6
