Dataset	Pearson Cor	Pearson p-value	Spearman Cor	Spearman p-value	Out-Of-Vocabulary words ratio	Epoch
wordsim353	0.27084333286461487	6.21026097460559e-05	0.2793566537117314	3.5383885916991476e-05	39.6600566572238	1
SimLexScores	0.16572011262824313	4.86610025017013e-05	0.16527739415836865	5.100718542836805e-05	40.44044044044044	1
MayoTerms	0.26154022137109884	0.20663517763202563	0.14214192528271496	0.49791237822658063	75.24752475247524	1
UMNSRS_relatedness_Terms	0.12770454761212693	0.12321076238011378	0.10168447796299344	0.2203818844889243	74.95741056218058	1
UMNSRS_similarity_Terms	0.15106751080057756	0.05499523406187401	0.11931150210921634	0.13047402875448494	71.37809187279152	1
wordsim353	0.3208587972350802	1.7332392663622433e-06	0.3203981456974085	1.7968829620090166e-06	39.6600566572238	2
SimLexScores	0.18565193084942677	5.1470472575486646e-06	0.1828937268928007	7.1289915049352704e-06	40.44044044044044	2
MayoTerms	0.2970450933878858	0.1493106275240125	0.13058567119468936	0.5338273275559569	75.24752475247524	2
UMNSRS_relatedness_Terms	0.12375906583541292	0.13532286652525818	0.11926878450304483	0.15019200289387188	74.95741056218058	2
UMNSRS_similarity_Terms	0.20702843048177985	0.00820929742032951	0.18887541863251653	0.016080532156963544	71.37809187279152	2
wordsim353	0.36661618200786966	3.543074912636421e-08	0.3625572915542197	5.13228106511474e-08	39.6600566572238	3
SimLexScores	0.19763963209212884	1.1808864204326878e-06	0.1925089333443537	2.2425699722736165e-06	40.44044044044044	3
MayoTerms	0.22515786079269598	0.2791974572361672	0.07781211085937241	0.71160346694281	75.24752475247524	3
UMNSRS_relatedness_Terms	0.18106635486490325	0.028181824332227896	0.16453765400914983	0.04642845721802956	74.95741056218058	3
UMNSRS_similarity_Terms	0.26677408104785727	0.0006000491007394553	0.2375969752609882	0.0023313194764378606	71.37809187279152	3
wordsim353	0.37518740594821304	1.5927575623237104e-08	0.37107443497107845	2.3444019005701297e-08	39.6600566572238	4
SimLexScores	0.21059393769411233	2.1672590070864747e-07	0.20241909788549678	6.398650189436656e-07	40.44044044044044	4
MayoTerms	0.20613406469468848	0.3228715170746716	0.11094003924504584	0.5975437435965728	75.24752475247524	4
UMNSRS_relatedness_Terms	0.203956314386896	0.013218349325192311	0.19532388539702797	0.0177476070186046	74.95741056218058	4
UMNSRS_similarity_Terms	0.28356611788524233	0.0002555753264414248	0.2570971707286782	0.0009576933045315323	71.37809187279152	4
wordsim353	0.3783417294417539	1.1797913395650049e-08	0.3726819937890596	2.016942126090927e-08	39.6600566572238	5
