Dataset	Pearson Cor	Pearson p-value	Spearman Cor	Spearman p-value	Out-Of-Vocabulary words ratio	Epoch
wordsim353	0.10313861535913965	0.15240433202691805	0.08522069360857311	0.23741740417001048	45.04249291784703	1
SimLexScores	0.08448772331844051	0.048680075879253826	0.10390240460162838	0.015239879241100563	45.44544544544545	1
MayoTerms	0.4054325054321126	0.10641065742389101	0.25354081392805045	0.32613953849737787	83.16831683168317	1
UMNSRS_relatedness_Terms	0.05924179631721607	0.5221773058075829	0.0082396403615365	0.9291322843203899	79.7274275979557	1
UMNSRS_similarity_Terms	0.12085894857947908	0.1724607095202705	0.1019685121906197	0.2501986513956284	77.20848056537103	1
wordsim353	0.1095026862217747	0.12853268167793153	0.06614150130765618	0.35951228593657925	45.04249291784703	2
SimLexScores	0.1288168471484139	0.002587498582004426	0.15545895006847912	0.00026941124949226826	45.44544544544545	2
MayoTerms	0.308908111112297	0.22765168474974656	0.15630914256729322	0.5491123526511784	83.16831683168317	2
UMNSRS_relatedness_Terms	0.1147836196563472	0.21385392946118667	0.07075622023513042	0.44446741367110243	79.7274275979557	2
UMNSRS_similarity_Terms	0.15887403510991308	0.07212335599195564	0.1490982019945133	0.09172127773663254	77.20848056537103	2
wordsim353	0.13562390540817976	0.05935751640358634	0.07982631825264537	0.2685390258489743	45.04249291784703	3
SimLexScores	0.1414470572072289	0.0009289832070113434	0.1704248857844457	6.36740888327164e-05	45.44544544544545	3
MayoTerms	0.3095292757208695	0.22666936577080185	0.1612322651678379	0.5364382689741385	83.16831683168317	3
UMNSRS_relatedness_Terms	0.12039962249812408	0.19213417313544667	0.06651533360134046	0.47230468767645095	79.7274275979557	3
UMNSRS_similarity_Terms	0.18044464629189977	0.04072309739799586	0.16939966317983324	0.05496187213623018	77.20848056537103	3
wordsim353	0.14990530895063037	0.03695604943761511	0.08077962041792205	0.2628460399979651	45.04249291784703	4
SimLexScores	0.1476205050715408	0.0005456535664343238	0.18117786211445747	2.08867943663357e-05	45.44544544544545	4
MayoTerms	0.32016743700646016	0.21026607487963322	0.16369382646811023	0.5301511340255238	83.16831683168317	4
UMNSRS_relatedness_Terms	0.137244101519556	0.1366438223093479	0.07061022833589836	0.44541008072561694	79.7274275979557	4
UMNSRS_similarity_Terms	0.20486386337123966	0.01986349928090699	0.18165377385537262	0.03937154635658851	77.20848056537103	4
wordsim353	0.16508718196148858	0.021428676976928296	0.10045380475992545	0.16342474952686523	45.04249291784703	5
SimLexScores	0.15325986228570446	0.00032952721948996985	0.19173598416166615	6.552391492009961e-06	45.44544544544545	5
MayoTerms	0.3636245843750991	0.15136409406834406	0.23261754287573563	0.36893705854271075	83.16831683168317	5
UMNSRS_relatedness_Terms	0.15132036978191699	0.10043245110757021	0.08312280233349528	0.368786806982366	79.7274275979557	5
UMNSRS_similarity_Terms	0.220344431620695	0.01210077107317159	0.1958756979240643	0.02610389508984455	77.20848056537103	5
wordsim353	0.17683540243373894	0.013640829509584092	0.11024158819824045	0.1259591933988945	45.04249291784703	6
SimLexScores	0.1582231322690797	0.00020835741821361518	0.1978399233737128	3.254077698120995e-06	45.44544544544545	6
MayoTerms	0.3577167948833132	0.15862161963077087	0.20800192987301225	0.4230681656861083	83.16831683168317	6
UMNSRS_relatedness_Terms	0.17061150285017398	0.06357728517192854	0.10252548181923962	0.2671962658724165	79.7274275979557	6
UMNSRS_similarity_Terms	0.23270282581165053	0.00795897338431865	0.21419257457935847	0.014791688510736766	77.20848056537103	6
wordsim353	0.1927193006431947	0.007098085502517709	0.12629486793661532	0.07930224963737008	45.04249291784703	7
SimLexScores	0.16550582948492265	0.00010372751338678802	0.2036342158902036	1.640708089278198e-06	45.44544544544545	7
MayoTerms	0.381499694749814	0.13079397824172592	0.24246378807682495	0.34842259202900605	83.16831683168317	7
UMNSRS_relatedness_Terms	0.1597262318740826	0.08270994093239618	0.09091378466324544	0.3254488855423867	79.7274275979557	7
UMNSRS_similarity_Terms	0.23274054572120614	0.007948545884872088	0.20796209723086911	0.018033872638604734	77.20848056537103	7
wordsim353	0.2056078655638042	0.0040265778515259495	0.14613012747206203	0.042039323090751944	45.04249291784703	8
SimLexScores	0.16734054253574965	8.660477135499065e-05	0.20620138492709572	1.2036357878506768e-06	45.44544544544545	8
MayoTerms	0.3945016834747015	0.11710972800637005	0.3433878013879907	0.17719365917695576	83.16831683168317	8
UMNSRS_relatedness_Terms	0.17232870317890908	0.06091835796765938	0.10919125829149386	0.23716546437254624	79.7274275979557	8
UMNSRS_similarity_Terms	0.2518114624398874	0.003992809716427357	0.2287387406276037	0.009124636140747388	77.20848056537103	8
wordsim353	0.22038254559845208	0.0020165039360410474	0.15710871680476143	0.028688986956200386	45.04249291784703	9
SimLexScores	0.17155925964982588	5.678657294565209e-05	0.21091910475117348	6.741930387933993e-07	45.44544544544545	9
MayoTerms	0.43632316191067516	0.07995139555239893	0.33969545943758217	0.18220457881406305	83.16831683168317	9
UMNSRS_relatedness_Terms	0.18149514377406895	0.04822067251632314	0.11977745137483353	0.19445833718069458	79.7274275979557	9
UMNSRS_similarity_Terms	0.2615424007956967	0.0027540780159009235	0.23741221358065995	0.0067469025930249026	77.20848056537103	9
wordsim353	0.23147497658199287	0.0011644116147231003	0.168528619295007	0.018824464500035384	45.04249291784703	10
SimLexScores	0.1754279606921612	3.822067436459923e-05	0.2102895441665415	7.289707379087677e-07	45.44544544544545	10
MayoTerms	0.44089384544193705	0.07648722920224571	0.338464678787446	0.18389557910366316	83.16831683168317	10
UMNSRS_relatedness_Terms	0.1938464011590526	0.03465437045924639	0.14495571282531955	0.11573993663837323	79.7274275979557	10
UMNSRS_similarity_Terms	0.2691699649798155	0.0020385109581388845	0.2558073555413636	0.0034337348520651575	77.20848056537103	10
wordsim353	0.2317758592709035	0.0011467784318563421	0.1634440671427942	0.022778154575244566	45.04249291784703	11
SimLexScores	0.17830200140331848	2.8324119853167127e-05	0.21420594104218477	4.4665802417931553e-07	45.44544544544545	11
MayoTerms	0.4610828035345853	0.06248555398731796	0.3187721883852673	0.21237232071500076	83.16831683168317	11
UMNSRS_relatedness_Terms	0.19993271858226985	0.029253889663051067	0.15116570970972734	0.10078452139694587	79.7274275979557	11
UMNSRS_similarity_Terms	0.2805142974902202	0.0012822531363280679	0.27342823001640926	0.0017168314773468923	77.20848056537103	11
wordsim353	0.2441121371664818	0.000603231604335178	0.18080074104852148	0.011641969652517337	45.04249291784703	12
SimLexScores	0.17710513824755844	3.210718421576441e-05	0.21246337220113065	5.560666820874022e-07	45.44544544544545	12
MayoTerms	0.46466232571525573	0.06021605281676529	0.3347723368370375	0.18903088718669492	83.16831683168317	12
UMNSRS_relatedness_Terms	0.19481579501401186	0.03374175170685109	0.14249521520655475	0.12212107101371537	79.7274275979557	12
UMNSRS_similarity_Terms	0.2790247481103827	0.001364249954283855	0.26809221330117095	0.002128154771171007	77.20848056537103	12
wordsim353	0.2413099554231868	0.0007000258392403368	0.17944228546300223	0.012295620995712677	45.04249291784703	13
SimLexScores	0.18243957108277337	1.824662919385066e-05	0.21794256936702056	2.7748655191469374e-07	45.44544544544545	13
MayoTerms	0.4835955789277747	0.04921556576402609	0.33600311748717365	0.18730871768589266	83.16831683168317	13
UMNSRS_relatedness_Terms	0.19731663882487882	0.03148059522453202	0.15343036453683936	0.09572527237223342	79.7274275979557	13
UMNSRS_similarity_Terms	0.2789521839722757	0.0013683639297065143	0.26715582482573624	0.002208923963158062	77.20848056537103	13
wordsim353	0.2500343864193143	0.0004379604838661685	0.194119029747206	0.0066850385457748	45.04249291784703	14
SimLexScores	0.17893343989044866	2.6502584500690078e-05	0.2144353034736068	4.339018401613882e-07	45.44544544544545	14
MayoTerms	0.48267309606451314	0.049713692457284346	0.3040028205836333	0.23550434226255995	83.16831683168317	14
UMNSRS_relatedness_Terms	0.20064545052237454	0.028670953533715644	0.16822183647366848	0.06743419195290552	79.7274275979557	14
UMNSRS_similarity_Terms	0.28206053645702195	0.0012019129341136175	0.27442890784985885	0.0016482700411942683	77.20848056537103	14
wordsim353	0.2562839219218452	0.00030977692815263157	0.1996679057988855	0.005250616824933481	45.04249291784703	15
SimLexScores	0.1849215916441198	1.3949683808213412e-05	0.21810306376392705	2.718189687390729e-07	45.44544544544545	15
MayoTerms	0.46101820882889766	0.06252708152133436	0.3064643818839057	0.2315425702455462	83.16831683168317	15
UMNSRS_relatedness_Terms	0.2058770356552439	0.02468684830055822	0.1668651800442193	0.06970706065021985	79.7274275979557	15
