Dataset	Pearson Cor	Pearson p-value	Spearman Cor	Spearman p-value	Out-Of-Vocabulary words ratio	Epoch
wordsim353	0.20047620918152526	0.005066478681508059	0.21893693672064632	0.0021619818604338395	45.04249291784703	1
SimLexScores	0.1603369468599662	0.00017069268354290694	0.15748799955472728	0.0002231879784129664	45.44544544544545	1
MayoTerms	0.11176733585548	0.669328496410987	0.13415509086484223	0.6077176816296925	83.16831683168317	1
UMNSRS_relatedness_Terms	0.07437419527260629	0.4214679759431479	0.05563003516347656	0.5478985100332643	79.7274275979557	1
UMNSRS_similarity_Terms	0.21929684067673394	0.012526217250573906	0.20281615340019668	0.021158793657453635	77.20848056537103	1
wordsim353	0.29231417449742475	3.536414835680018e-05	0.2988080437388155	2.3150638359015635e-05	45.04249291784703	2
SimLexScores	0.1923805533288236	6.091856045921864e-06	0.1868083984541509	1.1346851690484005e-05	45.44544544544545	2
MayoTerms	0.18396396575972498	0.4796931152279695	0.11938572306320822	0.6481135651616259	83.16831683168317	2
UMNSRS_relatedness_Terms	0.0308471803035855	0.7391113454061646	0.03240308007345814	0.7264612436116642	79.7274275979557	2
UMNSRS_similarity_Terms	0.20797523573368112	0.018026435430754634	0.17526397070658542	0.04696166756447485	77.20848056537103	2
wordsim353	0.31637321133739793	6.987521831552896e-06	0.3152229208502263	7.575578671495162e-06	45.04249291784703	3
SimLexScores	0.20757636016177639	1.017966428384996e-06	0.20531974064884687	1.3393427838376742e-06	45.44544544544545	3
MayoTerms	0.15728138940750383	0.5465989552543278	0.1316935295645699	0.6143802037482351	83.16831683168317	3
UMNSRS_relatedness_Terms	0.0877041476518251	0.34289031059139896	0.08703253661049055	0.3466131564817583	79.7274275979557	3
UMNSRS_similarity_Terms	0.24406942498776926	0.0053133194433259995	0.21861735952447223	0.012809113386518403	77.20848056537103	3
wordsim353	0.330293119752941	2.558718787231736e-06	0.32392591216943334	4.076420841101988e-06	45.04249291784703	4
SimLexScores	0.2272676020850107	8.149883967501503e-08	0.22242610822120104	1.5499013466494992e-07	45.44544544544545	4
MayoTerms	0.1674072633715219	0.5207305248478702	0.14153977476565924	0.5879061778912522	83.16831683168317	4
UMNSRS_relatedness_Terms	0.12093953954662554	0.19013367049325577	0.1188694529771707	0.19788667172962712	79.7274275979557	4
UMNSRS_similarity_Terms	0.2720478379157866	0.0018156639124394043	0.23996701676438326	0.0061604798569288325	77.20848056537103	4
wordsim353	0.32991907480763133	2.63045364292599e-06	0.3205203223652035	5.20708591660663e-06	45.04249291784703	5
SimLexScores	0.23666326435998788	2.245912617587643e-08	0.23067044222395477	5.142594731454257e-08	45.44544544544545	5
MayoTerms	0.12833100025828947	0.6235274955815647	0.1464628973662039	0.5748493858140709	83.16831683168317	5
UMNSRS_relatedness_Terms	0.1607487907274059	0.0807364199864072	0.15652824142298316	0.08913209698620221	79.7274275979557	5
UMNSRS_similarity_Terms	0.3055242476911108	0.00043010350497334047	0.26984759229392613	0.0019839154464579493	77.20848056537103	5
wordsim353	0.3455420491739989	8.031953390700213e-07	0.3326100018077771	2.1542145138648457e-06	45.04249291784703	6
SimLexScores	0.2414273665224623	1.1438870192964676e-08	0.23506646900628855	2.8068107531599437e-08	45.44544544544545	6
MayoTerms	0.1297003197473207	0.6197960746931908	0.06276981315694453	0.8108508313707636	83.16831683168317	6
UMNSRS_relatedness_Terms	0.1814653782356052	0.04825804202141159	0.18096942182124873	0.04888423814075061	79.7274275979557	6
UMNSRS_similarity_Terms	0.3160923827776543	0.00026306126777425056	0.27654207109591444	0.0015115970578639094	77.20848056537103	6
wordsim353	0.3478962357832161	6.679219454158914e-07	0.34268541952009796	1.0026220743927592e-06	45.04249291784703	7
SimLexScores	0.24556610030332515	6.29171925947743e-09	0.23730019518069317	2.053898948464352e-08	45.44544544544545	7
MayoTerms	0.08230373449129409	0.7534966581352884	0.07630840030844237	0.7709849587503033	83.16831683168317	7
UMNSRS_relatedness_Terms	0.21014357054163066	0.021797646816668643	0.21225441759327107	0.02047901568307644	79.7274275979557	7
UMNSRS_similarity_Terms	0.33722539777585797	9.307423792256094e-05	0.2933299791062451	0.000741679839123964	77.20848056537103	7
wordsim353	0.34836102429966653	6.439248117396841e-07	0.3447120084335224	8.568521658267782e-07	45.04249291784703	8
SimLexScores	0.24609784540325275	5.821981447534924e-09	0.23713269537015733	2.1027955141715097e-08	45.44544544544545	8
MayoTerms	0.08841486267357622	0.7357865016884215	0.06523137445721687	0.8035667388217512	83.16831683168317	8
UMNSRS_relatedness_Terms	0.2287318870827864	0.012346018620464904	0.23745048293390728	0.009315915265457988	79.7274275979557	8
UMNSRS_similarity_Terms	0.3510748981057523	4.517977284482691e-05	0.3199541588928584	0.0002187978015091182	77.20848056537103	8
wordsim353	0.3496559746964556	5.813364843691127e-07	0.34723250648602544	7.036773704037661e-07	45.04249291784703	9
SimLexScores	0.24822715906408663	4.259342870602078e-09	0.23799291568503153	1.8631151925800108e-08	45.44544544544545	9
MayoTerms	0.11070926175904741	0.6722941477874848	0.0898469874599402	0.7316539574840311	83.16831683168317	9
UMNSRS_relatedness_Terms	0.23990919354901707	0.008589544840593592	0.24384207949784767	0.0075312920026999386	79.7274275979557	9
UMNSRS_similarity_Terms	0.35548662152331856	3.563188238357319e-05	0.321047077979112	0.0002075880989304528	77.20848056537103	9
wordsim353	0.353804396250331	4.1766120655148164e-07	0.35107612219895573	5.193952324389396e-07	45.04249291784703	10
SimLexScores	0.2516906920080644	2.5460693576120124e-09	0.2391504027581483	1.5819787674729707e-08	45.44544544544545	10
MayoTerms	0.09240780371654686	0.724281880477011	0.043077322754765855	0.8696061207503176	83.16831683168317	10
UMNSRS_relatedness_Terms	0.24133467750184398	0.008191712125630473	0.2430409044410864	0.007736996565731805	79.7274275979557	10
UMNSRS_similarity_Terms	0.3535588599046424	3.954392569836185e-05	0.3158508207378192	0.0002660885866855804	77.20848056537103	10
