Dataset	Pearson Cor	Pearson p-value	Spearman Cor	Spearman p-value	Out-Of-Vocabulary words ratio	Epoch
wordsim353	0.24355377967484038	0.0003559912903586494	0.23649431767823847	0.0005319239698146568	40.226628895184135	1
SimLexScores	0.18610414657710644	4.788198021073369e-06	0.18250650326811182	7.3287340071856764e-06	40.34034034034034	1
MayoTerms	0.40357911100522736	0.03319570696321727	0.30301388058635936	0.11702004864699998	72.27722772277228	1
UMNSRS_relatedness_Terms	0.05962353760640867	0.473149366921178	0.011673758128425991	0.888396659709549	74.95741056218058	1
UMNSRS_similarity_Terms	0.1574557253399649	0.04538532922363887	0.16279706502088048	0.038466198574611775	71.37809187279152	1
wordsim353	0.2450455503392366	0.000326531934960046	0.23213680628671293	0.0006775775993955756	40.226628895184135	2
SimLexScores	0.21645311139764173	9.470932260401262e-08	0.21708957992901695	8.66661458602366e-08	40.34034034034034	2
MayoTerms	0.48644081244903536	0.008670384657280265	0.33506869435544073	0.08133918345209365	72.27722772277228	2
UMNSRS_relatedness_Terms	0.231162407939813	0.004847036583393709	0.21739257734110576	0.008170204673412685	74.95741056218058	2
UMNSRS_similarity_Terms	0.2690449000072189	0.0005363300929127578	0.2832559695267989	0.00025976451083181446	71.37809187279152	2
wordsim353	0.20789905745669474	0.0024037443510914005	0.17714606006577813	0.009927818263667018	40.226628895184135	3
SimLexScores	0.2101046058138384	2.2617491103236364e-07	0.21716074534591454	8.580894329654436e-08	40.34034034034034	3
MayoTerms	0.49242808111848757	0.007767823084455722	0.32438375643241363	0.09216077238202967	72.27722772277228	3
UMNSRS_relatedness_Terms	0.29999560678611986	0.00022284582569522766	0.28388766369011087	0.0004929744754801253	74.95741056218058	3
UMNSRS_similarity_Terms	0.3055627862711486	7.683739488577594e-05	0.3189157682444744	3.530546084054192e-05	71.37809187279152	3
wordsim353	0.20034790694813182	0.0034709496405230084	0.17744882470951645	0.009799892698832045	40.226628895184135	4
SimLexScores	0.205099167399512	4.409242585648442e-07	0.20890360142475597	2.6586467183947273e-07	40.34034034034034	4
MayoTerms	0.5030759764791253	0.0063578151075951795	0.3449317139766966	0.07223721511051097	72.27722772277228	4
UMNSRS_relatedness_Terms	0.3595705385893475	7.717649589757426e-06	0.3454280141862259	1.8274419039147895e-05	74.95741056218058	4
UMNSRS_similarity_Terms	0.33331352695695193	1.463367513372901e-05	0.3447697221253901	7.0308919602938505e-06	71.37809187279152	4
wordsim353	0.17980211698178186	0.00885429163015638	0.14883820462021533	0.030679201239941185	40.226628895184135	5
SimLexScores	0.1963791458517496	1.35656586340878e-06	0.20498666934895676	4.4750497884522983e-07	40.34034034034034	5
MayoTerms	0.4858500510228704	0.008764029427871738	0.33095910284658414	0.08538012379660721	72.27722772277228	5
UMNSRS_relatedness_Terms	0.38958085036199996	1.0760556378454709e-06	0.38803723135498075	1.1966096485436848e-06	74.95741056218058	5
UMNSRS_similarity_Terms	0.34811808619477236	5.643778294886755e-06	0.366100398415371	1.6594761814262918e-06	71.37809187279152	5
wordsim353	0.16522328871495942	0.01629306166691905	0.1364523202178301	0.04775086745010296	40.226628895184135	6
SimLexScores	0.19183568082241315	2.389292424216588e-06	0.19836681182133623	1.0545717402495817e-06	40.34034034034034	6
MayoTerms	0.5049765281618226	0.006130454894621116	0.3561645974342379	0.06284955187626493	72.27722772277228	6
UMNSRS_relatedness_Terms	0.4064182397196937	3.260883914073978e-07	0.4002040074237819	5.105443628970765e-07	74.95741056218058	6
UMNSRS_similarity_Terms	0.3602890627282511	2.484978259670478e-06	0.3724640360620247	1.056771506617911e-06	71.37809187279152	6
wordsim353	0.15525723886429232	0.024099501130328604	0.12126490474490383	0.07883223780007274	40.226628895184135	7
SimLexScores	0.19519014349095604	1.5751841129936426e-06	0.2011760177643427	7.355471797347727e-07	40.34034034034034	7
MayoTerms	0.4999886183834002	0.0067423490202972785	0.36712350812452216	0.054633259972375836	72.27722772277228	7
UMNSRS_relatedness_Terms	0.42351135348574986	9.057941035057497e-08	0.4190255812088365	1.2765017371436353e-07	74.95741056218058	7
UMNSRS_similarity_Terms	0.37497413074612196	8.820998548981129e-07	0.3850967529782361	4.1912721776106634e-07	71.37809187279152	7
wordsim353	0.1462869809581215	0.03369051067525097	0.11240041587190595	0.10348776744891822	40.226628895184135	8
SimLexScores	0.19401482145932283	1.8242556944825295e-06	0.19822567132904229	1.0736891844665158e-06	40.34034034034034	8
MayoTerms	0.48947897479843067	0.008201963827542597	0.32520567473418494	0.0912916237217499	72.27722772277228	8
UMNSRS_relatedness_Terms	0.42353472162212213	9.041649161017662e-08	0.4231491757063047	9.314069420334744e-08	74.95741056218058	8
UMNSRS_similarity_Terms	0.37991648805998224	6.153031660503023e-07	0.38763007069297184	3.4654032260924357e-07	71.37809187279152	8
wordsim353	0.13278149205021322	0.054124225567456136	0.1112379018389865	0.10712968386083778	40.226628895184135	9
SimLexScores	0.18116826022833696	8.568052911721193e-06	0.18486686544074515	5.548171142840464e-06	40.34034034034034	9
MayoTerms	0.47427411526315405	0.01077778825130011	0.27260290342082055	0.1604801615616792	72.27722772277228	9
UMNSRS_relatedness_Terms	0.4426992496731779	1.9713337099140827e-08	0.4500403764694556	1.0723743576482613e-08	74.95741056218058	9
UMNSRS_similarity_Terms	0.3880344043283237	3.3613003567578936e-07	0.4047578388188953	9.180454751224264e-08	71.37809187279152	9
wordsim353	0.13930407179065907	0.04324307849934773	0.1124016933598542	0.10348381977686041	40.226628895184135	10
SimLexScores	0.18277121442721775	7.104752211961904e-06	0.1878012839731	3.905955072297867e-06	40.34034034034034	10
MayoTerms	0.4713209701550605	0.011349277913844037	0.3095892270005298	0.10889610413244646	72.27722772277228	10
UMNSRS_relatedness_Terms	0.4472340839529184	1.3556961766382339e-08	0.4625736103176929	3.6663546005182035e-09	74.95741056218058	10
UMNSRS_similarity_Terms	0.3878433032171198	3.4101244735958014e-07	0.41044122067808236	5.809759808660683e-08	71.37809187279152	10
wordsim353	0.1372882935625911	0.04639053065758504	0.11259012283222303	0.10290283847775672	40.226628895184135	11
SimLexScores	0.19256861857784066	2.1827474773113744e-06	0.198590170901611	1.0249839232869944e-06	40.34034034034034	11
MayoTerms	0.47121604397185113	0.01137003953100993	0.2989042890775027	0.12231979306861085	72.27722772277228	11
UMNSRS_relatedness_Terms	0.4453695298584929	1.582355421164986e-08	0.4590450374724017	4.981592451593708e-09	74.95741056218058	11
UMNSRS_similarity_Terms	0.3876156631997578	3.4691689854469603e-07	0.4069157456633694	7.724189246627282e-08	71.37809187279152	11
wordsim353	0.12367540158221753	0.07301997212568201	0.10197228175023398	0.13986744833123282	40.226628895184135	12
SimLexScores	0.19018458759788706	2.9253309059965914e-06	0.19421682788446615	1.7789164915482332e-06	40.34034034034034	12
MayoTerms	0.4611644289419329	0.013511430981283259	0.294246752034132	0.12853711429830758	72.27722772277228	12
UMNSRS_relatedness_Terms	0.46249400566390536	3.691940146466716e-09	0.4772848123086607	9.831199710071012e-10	74.95741056218058	12
UMNSRS_similarity_Terms	0.3999067324314982	1.3476264860381818e-07	0.41719579370467025	3.335433397658501e-08	71.37809187279152	12
wordsim353	0.1193071571064838	0.08382300167262903	0.09426583570233664	0.1725059131447722	40.226628895184135	13
SimLexScores	0.18767549080474227	3.965611999193954e-06	0.19230916392135305	2.2538263297335145e-06	40.34034034034034	13
MayoTerms	0.4529826202918534	0.015492719613179839	0.26712344807567845	0.16939130979918765	72.27722772277228	13
UMNSRS_relatedness_Terms	0.4634940530140292	3.3826482474138227e-09	0.47581520327566473	1.1244353675591976e-09	74.95741056218058	13
UMNSRS_similarity_Terms	0.399961642385414	1.3418297081628486e-07	0.41971217559067237	2.7039671926575936e-08	71.37809187279152	13
wordsim353	0.1252626898396381	0.0693863616108472	0.1023248684239546	0.138495687815143	40.226628895184135	14
SimLexScores	0.18882376487853136	3.451884207510656e-06	0.19464217658092134	1.6869549229322968e-06	40.34034034034034	14
MayoTerms	0.44437213362045225	0.017831517260149407	0.2701371485155066	0.16444798109071532	72.27722772277228	14
UMNSRS_relatedness_Terms	0.45248504169672765	8.72766933442634e-09	0.4578304377189101	5.531550409884663e-09	74.95741056218058	14
UMNSRS_similarity_Terms	0.39737392181918785	1.642701425703941e-07	0.4031150634317352	1.0461994166118118e-07	71.37809187279152	14
