Dataset	Pearson Cor	Pearson p-value	Spearman Cor	Spearman p-value	Out-Of-Vocabulary words ratio	Epoch
wordsim353	0.2672447880425385	8.47254317644759e-05	0.2752239198057319	5.063985186973138e-05	40.226628895184135	1
SimLexScores	0.15287835840051175	0.0001793578591010587	0.15680501801164076	0.00012111166137279816	40.34034034034034	1
MayoTerms	0.397600643974241	0.03614910256310713	0.3000001801465311	0.12088959304873292	72.27722772277228	1
UMNSRS_relatedness_Terms	0.09380608854477725	0.2584243832769395	0.039840005289099124	0.6318667172054531	74.95741056218058	1
UMNSRS_similarity_Terms	0.19059798690271296	0.015121958527141236	0.1789975965236389	0.022663259728399006	71.37809187279152	1
wordsim353	0.3128847018514836	3.5725739937850673e-06	0.30561471935093776	6.137647406962034e-06	40.226628895184135	2
SimLexScores	0.18621059411596408	4.727680430501114e-06	0.19301435623646493	2.065620705193365e-06	40.34034034034034	2
MayoTerms	0.5319024046884144	0.0035774956046529935	0.4326029994989705	0.02149165685013883	72.27722772277228	2
UMNSRS_relatedness_Terms	0.22525722201193793	0.006085649143398363	0.18446049009013832	0.025312431057456862	74.95741056218058	2
UMNSRS_similarity_Terms	0.2982161051367772	0.00011603514874814371	0.2992448031703872	0.00010959978465078938	71.37809187279152	2
wordsim353	0.30943971680247667	4.625162368787556e-06	0.3002179715135001	9.087756900486631e-06	40.226628895184135	3
SimLexScores	0.21492055673222918	1.1714401624935791e-07	0.23068500870288877	1.2198463897633034e-08	40.34034034034034	3
MayoTerms	0.5512127119310921	0.002364566923959225	0.4515071204397108	0.01587441087129462	72.27722772277228	3
UMNSRS_relatedness_Terms	0.3046263057092125	0.0001758290198957344	0.2800870809466816	0.000590543314009891	74.95741056218058	3
UMNSRS_similarity_Terms	0.3423258099511958	8.241029970044729e-06	0.3508652091504283	4.703770398216743e-06	71.37809187279152	3
wordsim353	0.3055547301813274	6.1647483612968165e-06	0.29697890082067896	1.145881692602212e-05	40.226628895184135	4
SimLexScores	0.20982834069795042	2.347646725831379e-07	0.22939402666182854	1.4774032792372832e-08	40.34034034034034	4
MayoTerms	0.5618632147074667	0.001861705039706347	0.5068496194256463	0.005913153038577892	72.27722772277228	4
UMNSRS_relatedness_Terms	0.3444552889390563	1.9361422220914505e-05	0.32314209211516276	6.549527393470249e-05	74.95741056218058	4
UMNSRS_similarity_Terms	0.36000744352674563	2.5335711316017663e-06	0.37409410957763456	9.399427823427558e-07	71.37809187279152	4
wordsim353	0.3038899369574132	6.963823419604839e-06	0.2769268112407667	4.5277816425701716e-05	40.226628895184135	5
SimLexScores	0.21079911112403585	2.058978464936177e-07	0.23603199438514708	5.450860417790067e-09	40.34034034034034	5
MayoTerms	0.5675030354981867	0.0016349857168122168	0.526849631435415	0.003971189024847383	72.27722772277228	5
UMNSRS_relatedness_Terms	0.3801967189943498	2.035208116604592e-06	0.361367038634067	6.896649099385978e-06	74.95741056218058	5
UMNSRS_similarity_Terms	0.376929021598963	7.655124141880121e-07	0.3935209164541456	2.2131039796000496e-07	71.37809187279152	5
wordsim353	0.28684079307652555	2.3254641624996814e-05	0.2545177563963089	0.0001863408312372195	40.226628895184135	6
SimLexScores	0.19762105798263216	1.1594152513269e-06	0.21780103570774267	7.845600288967638e-08	40.34034034034034	6
MayoTerms	0.579402699820776	0.001233628510017521	0.5282194952717005	0.00386096639434144	72.27722772277228	6
UMNSRS_relatedness_Terms	0.3753727878238732	2.802707594225504e-06	0.3573057797382554	8.884738472070186e-06	74.95741056218058	6
UMNSRS_similarity_Terms	0.3632320555310654	2.0274499053013954e-06	0.37369752892145586	9.671759263433342e-07	71.37809187279152	6
wordsim353	0.275790046591167	4.8794232699249214e-05	0.23881615202420675	0.00046671526730698734	40.226628895184135	7
SimLexScores	0.20647035557664672	3.678364339225617e-07	0.2254177192182872	2.646372009282522e-08	40.34034034034034	7
MayoTerms	0.5494797096312731	0.002456558996341923	0.4742468601220507	0.010782950493998918	72.27722772277228	7
UMNSRS_relatedness_Terms	0.39897602565562656	5.572395299373979e-07	0.38613127311038814	1.363242734198985e-06	74.95741056218058	7
UMNSRS_similarity_Terms	0.3839120393548081	4.578602812272123e-07	0.3991760719321099	1.4270823137935223e-07	71.37809187279152	7
wordsim353	0.2550056368645738	0.00018092756538184727	0.22238957324146524	0.0011458535156259214	40.226628895184135	8
SimLexScores	0.20235874446341126	6.310569622925494e-07	0.2202527140784023	5.553316528475207e-08	40.34034034034034	8
MayoTerms	0.5568705950356052	0.0020845626709964232	0.46438384050079484	0.012791870664617816	72.27722772277228	8
UMNSRS_relatedness_Terms	0.4105533233124915	2.407553294806085e-07	0.40469028178543437	3.6971827008292725e-07	74.95741056218058	8
UMNSRS_similarity_Terms	0.37861302473520786	6.770099224213339e-07	0.3894379704102846	3.022644515215142e-07	71.37809187279152	8
wordsim353	0.2630168321028349	0.0001105732603445237	0.229442584203826	0.00078520562532624	40.226628895184135	9
SimLexScores	0.19756174004772742	1.168171004345556e-06	0.21531665128726235	1.1089777394555871e-07	40.34034034034034	9
MayoTerms	0.5373925073356982	0.0031880346085657618	0.45616465748308166	0.014695376287637205	72.27722772277228	9
UMNSRS_relatedness_Terms	0.43055000841291147	5.23410014305501e-08	0.42859315158431827	6.103890617315172e-08	74.95741056218058	9
UMNSRS_similarity_Terms	0.3865460616777455	3.7599308038619384e-07	0.39584818158595575	1.8493238068996782e-07	71.37809187279152	9
wordsim353	0.24689045118531708	0.00029323247612726624	0.21608900268063147	0.001590635046328342	40.226628895184135	10
SimLexScores	0.20665943790284644	3.587227875751542e-07	0.22257631737181766	3.98751720571299e-08	40.34034034034034	10
MayoTerms	0.5219460124951231	0.004388039401883477	0.4197262794378866	0.026178519205413794	72.27722772277228	10
UMNSRS_relatedness_Terms	0.43665057731755286	3.220864479841504e-08	0.4334005487423837	4.176650747175719e-08	74.95741056218058	10
UMNSRS_similarity_Terms	0.3918743624262729	2.510840300451985e-07	0.4055086605594187	8.646192250531601e-08	71.37809187279152	10
