Dataset	Pearson Cor	Pearson p-value	Spearman Cor	Spearman p-value	Out-Of-Vocabulary words ratio	Epoch
wordsim353	0.2837717033950433	2.865927015969045e-05	0.30086310292737295	8.674783599187394e-06	40.226628895184135	1
SimLexScores	0.15899585076699682	9.688678450690843e-05	0.1510010262172862	0.00021568320490785247	40.34034034034034	1
MayoTerms	0.287267092430456	0.13828217973199314	0.17260284337197684	0.37977757926712796	72.27722772277228	1
UMNSRS_relatedness_Terms	-0.05580772558908005	0.5019785466005843	-0.06068843060680748	0.46526790792894657	74.95741056218058	1
UMNSRS_similarity_Terms	0.08173994729773183	0.30111049760906605	0.07475898198733483	0.34441278089062	71.37809187279152	1
wordsim353	0.3314029378884869	8.427292933979376e-07	0.33202678268127805	8.013559301353106e-07	40.226628895184135	2
SimLexScores	0.19971363374719397	8.878498234327452e-07	0.19380766216413536	1.8719007272929663e-06	40.34034034034034	2
MayoTerms	0.2307898868506899	0.23737184815723303	0.0764384020647326	0.699052656194568	72.27722772277228	2
UMNSRS_relatedness_Terms	0.08161833134374244	0.325724273621783	0.07352389767519818	0.37614666970493527	74.95741056218058	2
UMNSRS_similarity_Terms	0.15272606006570788	0.052351661520645916	0.14502855804120207	0.06556796957102773	71.37809187279152	2
wordsim353	0.34953744707866163	1.8629418796268765e-07	0.3503031640131045	1.7442104499067377e-07	40.226628895184135	3
SimLexScores	0.21916793200908694	6.473965459329366e-08	0.21698621860865636	8.792589917744266e-08	40.34034034034034	3
MayoTerms	0.2320947833824789	0.23465594312386492	0.07205483778861892	0.715582299912953	72.27722772277228	3
UMNSRS_relatedness_Terms	0.1639239303746699	0.04726179404819757	0.16030449996937593	0.052433313372377624	74.95741056218058	3
UMNSRS_similarity_Terms	0.2054422022312317	0.00872513484498025	0.2062360544035272	0.008463495545796245	71.37809187279152	3
wordsim353	0.35464500968815577	1.1967013451330064e-07	0.35139477746489534	1.5874297835951626e-07	40.226628895184135	4
SimLexScores	0.22261605675324958	3.964867407414022e-08	0.22173746671099134	4.4958931172321376e-08	40.34034034034034	4
MayoTerms	0.2337357700531495	0.23127002819011128	0.06657538244347679	0.7364213508736471	72.27722772277228	4
UMNSRS_relatedness_Terms	0.20155160331468897	0.014365214342787147	0.20684652691537722	0.011946587758184154	74.95741056218058	4
UMNSRS_similarity_Terms	0.23139403958857396	0.0030497778622981674	0.23503401984596867	0.0026071524123275733	71.37809187279152	4
wordsim353	0.34882454299896787	1.9804275928372813e-07	0.3449243010069426	2.759984809603496e-07	40.226628895184135	5
SimLexScores	0.22901948347194773	1.561504598421616e-08	0.23191859927870903	1.0147253011469403e-08	40.34034034034034	5
MayoTerms	0.21668565878182464	0.26806047722092124	0.058356199425763595	0.7680207292226845	72.27722772277228	5
UMNSRS_relatedness_Terms	0.2401090241923254	0.0033973460966335656	0.24443678367195928	0.0028475238103265396	74.95741056218058	5
UMNSRS_similarity_Terms	0.25519064924202056	0.0010479358137803318	0.25920991536319593	0.0008660558185153245	71.37809187279152	5
wordsim353	0.3487391563905922	1.9949669101410558e-07	0.3410611774513949	3.8173761425525317e-07	40.226628895184135	6
SimLexScores	0.22274944529574783	3.8897477210050186e-08	0.2239221968292581	3.28594413076354e-08	40.34034034034034	6
MayoTerms	0.2356580782406637	0.22734537531269625	0.10684937923027137	0.5883907110471166	72.27722772277228	6
UMNSRS_relatedness_Terms	0.241492528326197	0.003211980271117002	0.24882105432180993	0.002373770392509621	74.95741056218058	6
UMNSRS_similarity_Terms	0.2527482147062263	0.001174924338429956	0.25251320641811453	0.0011878577238296668	71.37809187279152	6
wordsim353	0.35437515553095855	1.2252544398817848e-07	0.3522583593179212	1.4730763030592593e-07	40.226628895184135	7
SimLexScores	0.23187889040224835	1.0207732900659657e-08	0.23627383210015593	5.253404803011397e-09	40.34034034034034	7
MayoTerms	0.2667345000745068	0.1700368500461292	0.14082200237015252	0.4747570709197405	72.27722772277228	7
UMNSRS_relatedness_Terms	0.26398904170496335	0.0012340746406870385	0.2800360790907807	0.0005919659231728712	74.95741056218058	7
UMNSRS_similarity_Terms	0.27779175467614087	0.00034486104113476136	0.2927470902129257	0.00015659511122969664	71.37809187279152	7
wordsim353	0.34053492896373744	3.98847089832704e-07	0.3357985658485249	5.896739236313737e-07	40.226628895184135	8
SimLexScores	0.23317308396982825	8.405709881847126e-09	0.23693438660896998	4.7487941946559705e-09	40.34034034034034	8
MayoTerms	0.24053530726528696	0.2175891549987301	0.14630145771529465	0.4575601680241025	72.27722772277228	8
UMNSRS_relatedness_Terms	0.2689280141687407	0.000989002227518038	0.28927685979697165	0.0003799365087910354	74.95741056218058	8
UMNSRS_similarity_Terms	0.28811798477250533	0.00020088488336121382	0.3127299567995236	5.085105385210493e-05	71.37809187279152	8
wordsim353	0.3382059036699439	4.837915415243612e-07	0.33585605280619674	5.869050299802676e-07	40.226628895184135	9
SimLexScores	0.22865235115270854	1.6484338026944766e-08	0.23357456269723134	7.91234170178814e-09	40.34034034034034	9
MayoTerms	0.25047306781034445	0.19859659760153495	0.09643841407450135	0.6254232316928258	72.27722772277228	9
UMNSRS_relatedness_Terms	0.2850725763448552	0.000465743273739606	0.308748235005356	0.00014191751420806518	74.95741056218058	9
UMNSRS_similarity_Terms	0.30908028109176505	6.282974619730275e-05	0.3259032089161493	2.3154042508121445e-05	71.37809187279152	9
wordsim353	0.3438801165353199	3.014168387686263e-07	0.34235207902311476	3.426943870475103e-07	40.226628895184135	10
SimLexScores	0.23182894924569722	1.02842936984783e-08	0.2357220804728511	5.714450145661563e-09	40.34034034034034	10
MayoTerms	0.23012226621911497	0.23876942596117173	0.11479458948072746	0.5607890461057464	72.27722772277228	10
UMNSRS_relatedness_Terms	0.2902439135813006	0.00036238950105170063	0.3244322501736927	6.0991719963399085e-05	74.95741056218058	10
UMNSRS_similarity_Terms	0.3131567982226449	4.9599524986311534e-05	0.328446405864313	1.9806951990990067e-05	71.37809187279152	10
wordsim353	0.3551461315735358	1.1453646452939217e-07	0.3487644297794216	1.990652813732631e-07	40.226628895184135	11
SimLexScores	0.22512436956993287	2.7614852922909337e-08	0.22774512026792096	1.8838321588626845e-08	40.34034034034034	11
MayoTerms	0.24575163761064925	0.20747243987642336	0.13945213853386698	0.4791078226502201	72.27722772277228	11
UMNSRS_relatedness_Terms	0.30418741069810046	0.00017985323684021357	0.33702970858121256	2.9906781819965177e-05	74.95741056218058	11
UMNSRS_similarity_Terms	0.32955546833072136	1.849512346307116e-05	0.3454288081269397	6.734581402919536e-06	71.37809187279152	11
wordsim353	0.3501428610948912	1.7684495102493122e-07	0.347702837294415	2.1797968946284e-07	40.226628895184135	12
SimLexScores	0.23048926618347457	1.2558881876090964e-08	0.23134536482145265	1.1055018789601408e-08	40.34034034034034	12
MayoTerms	0.22953946019351698	0.2399939121973932	0.09972608728158662	0.6136265887300862	72.27722772277228	12
UMNSRS_relatedness_Terms	0.3102326017045277	0.00013127719122894285	0.3413063086463835	2.3313251496304456e-05	74.95741056218058	12
UMNSRS_similarity_Terms	0.33101378041331087	1.6894651997463975e-05	0.33242914825483344	1.5467038872689464e-05	71.37809187279152	12
wordsim353	0.34871380614172365	1.9993031373226542e-07	0.344605567763851	2.8353091923903174e-07	40.226628895184135	13
SimLexScores	0.23269577840222436	9.031145899061514e-09	0.23579848906064715	5.648336589256628e-09	40.34034034034034	13
MayoTerms	0.22363187447236368	0.2526408724057532	0.09945211451432952	0.6146061086285404	72.27722772277228	13
UMNSRS_relatedness_Terms	0.3133080832317158	0.00011155555509664675	0.3496328338616103	1.4203941744440256e-05	74.95741056218058	13
UMNSRS_similarity_Terms	0.33639911625599844	1.204616547933745e-05	0.3486240344813473	5.458246713257445e-06	71.37809187279152	13
wordsim353	0.34330243173788527	3.164281795217552e-07	0.3410611774513949	3.8173761425525317e-07	40.226628895184135	14
SimLexScores	0.22070252485479783	5.209888555680338e-08	0.22427697527956633	3.121892688005549e-08	40.34034034034034	14
MayoTerms	0.22944465677227757	0.24019348898695794	0.10383567879044321	0.5990123860720602	72.27722772277228	14
UMNSRS_relatedness_Terms	0.3268602588991827	5.329250244370541e-05	0.36250419112489424	6.4204601804594e-06	74.95741056218058	14
UMNSRS_similarity_Terms	0.3622162837513777	2.1754600878273957e-06	0.370530528948271	1.213313654682482e-06	71.37809187279152	14
wordsim353	0.328746476429933	1.0429044798003956e-06	0.32293745592938583	1.6505173014589706e-06	40.226628895184135	15
SimLexScores	0.228468675200116	1.693665866839324e-08	0.2320101988913785	1.000906129968937e-08	40.34034034034034	15
MayoTerms	0.27706576752476564	0.15347263431245745	0.1926028553817456	0.32613579110576874	72.27722772277228	15
UMNSRS_relatedness_Terms	0.33454388183443046	3.450768984495902e-05	0.37238910638153716	3.4074143317617268e-06	74.95741056218058	15
