Dataset	Pearson Cor	Pearson p-value	Spearman Cor	Spearman p-value	Out-Of-Vocabulary words ratio	Epoch
wordsim353	0.21494910380298599	0.0016862503890314481	0.22976195619089176	0.0007716712387083017	40.226628895184135	1
SimLexScores	0.02967264658566946	0.4696552661507506	0.03253594435189276	0.42786753360624485	40.34034034034034	1
MayoTerms	0.20218347631744835	0.30217414933670045	0.1797261353206616	0.3601155321468702	72.27722772277228	1
UMNSRS_relatedness_Terms	-0.11458598188937888	0.16697861352931728	-0.0878629750138522	0.2899478983854476	74.95741056218058	1
UMNSRS_similarity_Terms	0.020327922360021046	0.7973677321918928	0.051019184059997995	0.5190828233585482	71.37809187279152	1
wordsim353	0.24052182050796012	0.00042361847534060163	0.25916653504003845	0.0001403737552659522	40.226628895184135	2
SimLexScores	0.07689512613709515	0.06064337206687926	0.08498610362984856	0.03806322497887416	40.34034034034034	2
MayoTerms	0.287628781793519	0.13776440246173774	0.22876726065968359	0.24162272106643728	72.27722772277228	2
UMNSRS_relatedness_Terms	0.012407982305616558	0.8814271814645119	0.0012467120331328726	0.9880429141212643	74.95741056218058	2
UMNSRS_similarity_Terms	0.14917930656463807	0.058138072267909575	0.15400313595095386	0.05038861040328921	71.37809187279152	2
wordsim353	0.2559735854178024	0.00017061947665313631	0.26268920805737406	0.00011285748882240511	40.226628895184135	3
SimLexScores	0.09544574511747139	0.01977664881946766	0.10120249434073973	0.013442343636608685	40.34034034034034	3
MayoTerms	0.3866509059060531	0.042102246826878756	0.3394522586315544	0.07719152519322967	72.27722772277228	3
UMNSRS_relatedness_Terms	0.07795195688047324	0.3479988667544933	0.06850682622065135	0.4096670949012685	74.95741056218058	3
UMNSRS_similarity_Terms	0.18174327948830526	0.020634149888948888	0.19545922205270713	0.012680595939596634	71.37809187279152	3
wordsim353	0.2619425060317745	0.0001182297369888343	0.26638370320375104	8.947904298494091e-05	40.226628895184135	4
SimLexScores	0.10509632946419044	0.010244792257119363	0.11427901924444907	0.005218855675499568	40.34034034034034	4
MayoTerms	0.44974897304961553	0.01633933869714342	0.33452074882092653	0.08186937343112101	72.27722772277228	4
UMNSRS_relatedness_Terms	0.13060174615011616	0.11486337131303674	0.09909282810017785	0.23243037834468652	74.95741056218058	4
UMNSRS_similarity_Terms	0.22149316367974703	0.00461729331509709	0.226313479367221	0.003781161519063897	71.37809187279152	4
wordsim353	0.2656005781022883	9.401839603413822e-05	0.2728171325112042	5.924439212818261e-05	40.226628895184135	5
SimLexScores	0.125586698776481	0.0021284698094372594	0.14137555639894892	0.0005370294572308221	40.34034034034034	5
MayoTerms	0.4941723692722427	0.007520277720202957	0.3857536562980054	0.0426227086241882	72.27722772277228	5
UMNSRS_relatedness_Terms	0.15010076314708776	0.0695801895270792	0.1116921754653237	0.17802745490440183	74.95741056218058	5
UMNSRS_similarity_Terms	0.2371905952862155	0.002373209568278483	0.23798226536467781	0.0022922239558180162	71.37809187279152	5
