Dataset	Pearson Cor	Pearson p-value	Spearman Cor	Spearman p-value	Out-Of-Vocabulary words ratio	Epoch
wordsim353	0.2640189325933386	0.00010385239351733059	0.2654262259865278	9.505798665922727e-05	40.226628895184135	1
SimLexScores	0.17693783635600108	1.3936353571969042e-05	0.17234305577412734	2.333897160023065e-05	40.34034034034034	1
MayoTerms	0.4767066156800156	0.010325306597954467	0.38301392862543426	0.04424365493556791	72.27722772277228	1
UMNSRS_relatedness_Terms	0.11774554010280104	0.15550655128714283	0.04982881321516978	0.5489346621391398	74.95741056218058	1
UMNSRS_similarity_Terms	0.2021875248561769	0.009874185098320986	0.18751067310039984	0.016877134100818796	71.37809187279152	1
wordsim353	0.28742269661444814	2.234512745722837e-05	0.2759904125746898	4.815633030653822e-05	40.226628895184135	2
SimLexScores	0.22230366343248353	4.146328316945386e-08	0.2350913978674261	6.2895997361682136e-09	40.34034034034034	2
MayoTerms	0.5219308430023681	0.004389384623796962	0.43150710842994205	0.02186166669712897	72.27722772277228	2
UMNSRS_relatedness_Terms	0.2670859022911092	0.0010746525882274868	0.22462728504852836	0.0062331624909243225	74.95741056218058	2
UMNSRS_similarity_Terms	0.2866251289191351	0.00021748946062382203	0.2905256740107007	0.00017657000169452603	71.37809187279152	2
wordsim353	0.2606002128868171	0.00012849374245015583	0.23499582431492586	0.0005783803706242606	40.226628895184135	3
SimLexScores	0.22109693351094256	4.925730081225624e-08	0.23877785715540722	3.576803307002247e-09	40.34034034034034	3
MayoTerms	0.49695645747281214	0.007138955232702629	0.3882194112033193	0.04120457288496721	72.27722772277228	3
UMNSRS_relatedness_Terms	0.33213217391103755	3.9600608759743454e-05	0.3142545464850261	0.00010606662237684643	74.95741056218058	3
UMNSRS_similarity_Terms	0.31932546050056043	3.445273606188266e-05	0.3390567025659192	1.0170398937121987e-05	71.37809187279152	3
wordsim353	0.2349001037620866	0.0005814717435716354	0.20816857740140002	0.0023718723035122415	40.226628895184135	4
SimLexScores	0.20423226370985575	4.941401113708941e-07	0.22334884900614446	3.5688414395651903e-08	40.34034034034034	4
MayoTerms	0.5013217040365792	0.0065739676194931694	0.400274212962632	0.03480333322265956	72.27722772277228	4
UMNSRS_relatedness_Terms	0.36414682656830755	5.787251054276663e-06	0.35029396903069593	1.3647697429355583e-05	74.95741056218058	4
UMNSRS_similarity_Terms	0.3344408223548386	1.3632805530159128e-05	0.35999644347596593	2.5354873840316e-06	71.37809187279152	4
wordsim353	0.22652246495982392	0.0009194940434020672	0.1967152592012469	0.004123424041294656	40.226628895184135	5
SimLexScores	0.20576997143889106	4.0357592971146503e-07	0.22218860613997413	4.2151651470275945e-08	40.34034034034034	5
MayoTerms	0.5126904851651308	0.005276956346017448	0.4068495593768026	0.03166421617889414	72.27722772277228	5
UMNSRS_relatedness_Terms	0.3835278904859293	1.6268207031122362e-06	0.3771813918785949	2.487341523236374e-06	74.95741056218058	5
