Dataset	Pearson Cor	Pearson p-value	Spearman Cor	Spearman p-value	Out-Of-Vocabulary words ratio	Epoch
wordsim353	0.19439585297817	0.0010771527722793638	0.14939451391646202	0.012324093003047166	20.679886685552407	1
SimLexScores	0.18998813701985462	7.71059270016907e-08	0.18102773573564818	3.1216608731878134e-07	21.12112112112112	1
MayoTerms	0.4959063266972984	0.0002907279052135515	0.46499872713076085	0.0007618267614256258	51.48514851485149	1
UMNSRS_relatedness_Terms	0.4346998569271794	1.271360269605006e-12	0.4331883159839773	1.5498858148061248e-12	58.603066439523	1
UMNSRS_similarity_Terms	0.459213630892133	1.69684672581262e-14	0.463278726903545	9.298009580252106e-15	55.65371024734982	1
wordsim353	0.13478302419222776	0.02409795658784245	0.07258672020938602	0.22598265066758388	20.679886685552407	2
SimLexScores	0.17790889711618268	4.998676453659755e-07	0.1724714250782817	1.113950600219933e-06	21.12112112112112	2
MayoTerms	0.5080233053396548	0.0001942517223820438	0.48522051477984707	0.0004098367790143869	51.48514851485149	2
UMNSRS_relatedness_Terms	0.48619930868217964	8.01893649686767e-16	0.4724521396749984	6.4807916130105155e-15	58.603066439523	2
UMNSRS_similarity_Terms	0.4803764903582406	6.773673505852747e-16	0.4777670840265227	1.0199182625730899e-15	55.65371024734982	2
wordsim353	0.09713791997566588	0.1048044419806118	0.02972518059621082	0.6204012346485288	20.679886685552407	3
SimLexScores	0.18646029907516778	1.3480942794674782e-07	0.18339330007086502	2.1723389814668263e-07	21.12112112112112	3
MayoTerms	0.5271547797508294	9.957259596063078e-05	0.5052375248324869	0.00021340634173822634	51.48514851485149	3
UMNSRS_relatedness_Terms	0.4842612166499063	1.082768614299732e-15	0.47858192434848834	2.582232112583746e-15	58.603066439523	3
UMNSRS_similarity_Terms	0.492430461173171	9.768404713842901e-17	0.4991676138320189	3.199955821854002e-17	55.65371024734982	3
wordsim353	0.08771763092201075	0.1431791999722346	0.0273296947363549	0.6488556271826351	20.679886685552407	4
SimLexScores	0.17664562140619774	6.034833459948994e-07	0.1751188762556831	7.564206712549089e-07	21.12112112112112	4
MayoTerms	0.541367042337562	5.902188519966529e-05	0.5102033815463132	0.00018036679623243556	51.48514851485149	4
UMNSRS_relatedness_Terms	0.4951279298637651	1.9611793591080992e-16	0.48729216479795917	6.764121510348342e-16	58.603066439523	4
UMNSRS_similarity_Terms	0.4882342890805298	1.9335355698686716e-16	0.48830362260152715	1.911989766693024e-16	55.65371024734982	4
wordsim353	0.10462161318549296	0.0805295156253812	0.03984367569502489	0.506694526756753	20.679886685552407	5
SimLexScores	0.17841921356024842	4.6306492935885187e-07	0.18057965433861883	3.341798748073092e-07	21.12112112112112	5
MayoTerms	0.4858741147523092	0.0004014476851346494	0.45266087694486257	0.0010919498380506831	51.48514851485149	5
UMNSRS_relatedness_Terms	0.5017630407492787	6.703842687451335e-17	0.49361012077256583	2.498891586310885e-16	58.603066439523	5
UMNSRS_similarity_Terms	0.4946731890426708	6.755584336541539e-17	0.4884098644827976	1.8794301134503753e-16	55.65371024734982	5
wordsim353	0.08692182345692964	0.14685762510627534	0.02914762906473255	0.6272121756285658	20.679886685552407	6
SimLexScores	0.18611901032462752	1.4221620344762798e-07	0.18504450361163594	1.681906893387385e-07	21.12112112112112	6
MayoTerms	0.5072416065630363	0.00019946232563439794	0.45045951778306337	0.0011627623513960777	51.48514851485149	6
UMNSRS_relatedness_Terms	0.5110399933388197	1.4364763683528632e-17	0.5048025497629902	4.067800636209703e-17	58.603066439523	6
UMNSRS_similarity_Terms	0.49433682165140974	7.14099864997392e-17	0.4871004332961384	2.321574888369723e-16	55.65371024734982	6
wordsim353	0.11236879978070857	0.0604044667898198	0.06049066461353205	0.31316734405743035	20.679886685552407	7
SimLexScores	0.1749018395369833	7.809800629354041e-07	0.1720972451442056	1.1760349294653426e-06	21.12112112112112	7
MayoTerms	0.5143212479605473	0.00015657531874887332	0.46694411429700194	0.0007188975197603783	51.48514851485149	7
UMNSRS_relatedness_Terms	0.4901314732355113	4.3347497489174976e-16	0.4894657524050811	4.813209906074838e-16	58.603066439523	7
UMNSRS_similarity_Terms	0.4855431565022523	2.9812413723439033e-16	0.4820364899124368	5.211495174499763e-16	55.65371024734982	7
wordsim353	0.10351127714526534	0.08381378385639794	0.0455781911377197	0.4474625679808035	20.679886685552407	8
SimLexScores	0.17197861283821575	1.1964028843561295e-06	0.16822808679461873	2.0465300622277653e-06	21.12112112112112	8
MayoTerms	0.510659934733037	0.00017757587327826442	0.4725243038001676	0.0006075525054956608	51.48514851485149	8
UMNSRS_relatedness_Terms	0.493313942024738	2.619514400833117e-16	0.48126566526086006	1.7159254926214204e-15	58.603066439523	8
UMNSRS_similarity_Terms	0.49284399074502605	9.12809855946421e-17	0.48271567908198765	4.679480078877225e-16	55.65371024734982	8
