Dataset	Pearson Cor	Pearson p-value	Spearman Cor	Spearman p-value	Out-Of-Vocabulary words ratio	Epoch
wordsim353	0.20984482648744965	0.0004076081395080727	0.1599976275033551	0.007305254215740879	20.679886685552407	1
SimLexScores	0.1822103196323751	2.605711092187955e-07	0.18202206317081288	2.6819493452518253e-07	21.12112112112112	1
MayoTerms	0.42609103794375486	0.002268688742126369	0.399469896267899	0.004461580515432745	51.48514851485149	1
UMNSRS_relatedness_Terms	0.43939176339463015	6.831110437302715e-13	0.425697007407296	4.0778341119344784e-12	58.603066439523	1
UMNSRS_similarity_Terms	0.4785731240427031	8.99130979732367e-16	0.4805092628691731	6.63345619360333e-16	55.65371024734982	1
wordsim353	0.12157839437694308	0.042068515318657275	0.08212520378439654	0.1705664791096269	20.679886685552407	2
SimLexScores	0.1976353186609092	2.214488462575311e-08	0.1951420644032471	3.344414769338634e-08	21.12112112112112	2
MayoTerms	0.44090640102548195	0.0015199720218878065	0.4037702257932743	0.004014406810459235	51.48514851485149	2
UMNSRS_relatedness_Terms	0.4590833052680379	4.528943881687612e-14	0.4461671178596699	2.7386155492702846e-13	58.603066439523	2
UMNSRS_similarity_Terms	0.48271342737017325	4.681152752096344e-16	0.4753910602389655	1.4760412833994109e-15	55.65371024734982	2
wordsim353	0.14031909637122947	0.018817957444227693	0.09492864384000713	0.11298105271661552	20.679886685552407	3
SimLexScores	0.20400527411918276	7.537602873938797e-09	0.20153008866482539	1.150577098743108e-08	21.12112112112112	3
MayoTerms	0.47281039872933467	0.0006022868807143305	0.4362274748300355	0.001728258236616597	51.48514851485149	3
UMNSRS_relatedness_Terms	0.4836199323601029	1.1953854870149855e-15	0.46452134657059774	2.074759850094919e-14	58.603066439523	3
UMNSRS_similarity_Terms	0.5035272957972557	1.5337714777552067e-17	0.4937211996757434	7.902984198022263e-17	55.65371024734982	3
wordsim353	0.14012489599472105	0.018984557689480232	0.08575123247185075	0.15239843709368056	20.679886685552407	4
SimLexScores	0.20588146330099766	5.4507791677897576e-09	0.20701000861303911	4.478561067809402e-09	21.12112112112112	4
MayoTerms	0.5052760350494708	0.00021313025849266698	0.44544246667012544	0.0013397069773348686	51.48514851485149	4
UMNSRS_relatedness_Terms	0.48618974021051636	8.03087169686858e-16	0.47243290438643976	6.4993448182248085e-15	58.603066439523	4
UMNSRS_similarity_Terms	0.49124901510649804	1.1850147960428494e-16	0.48826605850779226	1.923633664175908e-16	55.65371024734982	4
wordsim353	0.1741914712453069	0.0034542120030309417	0.13200947482126849	0.027193130994127648	20.679886685552407	5
SimLexScores	0.22154745843023618	3.225001191694977e-10	0.22354468071729058	2.2140204648539968e-10	21.12112112112112	5
MayoTerms	0.5696275753265858	1.939477704306621e-05	0.5417391313990654	5.820078097946989e-05	51.48514851485149	5
UMNSRS_relatedness_Terms	0.5006813504653276	7.998655372546151e-17	0.49010647361682064	4.3518444830085913e-16	58.603066439523	5
UMNSRS_similarity_Terms	0.5138577049512333	2.57334799251239e-18	0.5092086099179542	5.789634502815617e-18	55.65371024734982	5
wordsim353	0.17861354659898399	0.002703668541816899	0.13206906130203622	0.027123208603079346	20.679886685552407	6
SimLexScores	0.2294373758850713	7.147565246159283e-11	0.23307545345315916	3.5010531275219766e-11	21.12112112112112	6
MayoTerms	0.5941134489325959	6.783040010817502e-06	0.5703056061033441	1.8859876437611844e-05	51.48514851485149	6
UMNSRS_relatedness_Terms	0.4928752764736867	2.8087119778607794e-16	0.4809967893794866	1.787933655052295e-15	58.603066439523	6
UMNSRS_similarity_Terms	0.5056187298498398	1.07378977552087e-17	0.5015701980898938	2.1364787220262365e-17	55.65371024734982	6
wordsim353	0.18685976737546356	0.001686706665928565	0.1435785453945526	0.01620565215685742	20.679886685552407	7
SimLexScores	0.2262461234852178	1.3236212425136267e-10	0.2292377240598231	7.430487740289652e-11	21.12112112112112	7
MayoTerms	0.6203703313283575	1.9889697645644652e-06	0.5978993872245024	5.7214227774803235e-06	51.48514851485149	7
UMNSRS_relatedness_Terms	0.4893325961871569	4.914936667620998e-16	0.48433996616266095	1.0696765397162772e-15	58.603066439523	7
UMNSRS_similarity_Terms	0.49735841819490095	4.3286303404967946e-17	0.4930477020355463	8.827981860580956e-17	55.65371024734982	7
wordsim353	0.17658880735353497	0.0030267013654604754	0.12454421811150296	0.037267945260775634	20.679886685552407	8
SimLexScores	0.2244570519158869	1.8622763964406986e-10	0.22990696585316833	6.522930842751844e-11	21.12112112112112	8
MayoTerms	0.5935241783678514	6.963788869847528e-06	0.57112471648913	1.8231811235830568e-05	51.48514851485149	8
UMNSRS_relatedness_Terms	0.49419470631284657	2.2765632494016456e-16	0.49036981096733534	4.175041481162679e-16	58.603066439523	8
UMNSRS_similarity_Terms	0.49416412834389045	7.347163884710694e-17	0.4892708031563791	1.6348690700505036e-16	55.65371024734982	8
wordsim353	0.16935444725225607	0.004487090315346048	0.1302995068227223	0.029266684203240897	20.679886685552407	9
SimLexScores	0.2285394325552238	8.508636172691665e-11	0.23263438122241975	3.819932133555431e-11	21.12112112112112	9
MayoTerms	0.6124908836264725	2.9078565420842097e-06	0.5976434152289443	5.788041178692723e-06	51.48514851485149	9
UMNSRS_relatedness_Terms	0.4952211068514597	1.932147652418885e-16	0.4921206403846151	3.1659750198325337e-16	58.603066439523	9
UMNSRS_similarity_Terms	0.49854287895056454	3.5525388239834543e-17	0.4938873923328737	7.689763226812198e-17	55.65371024734982	9
wordsim353	0.16962859174048112	0.004421832482344052	0.12242206473223305	0.04065268871148017	20.679886685552407	10
SimLexScores	0.2236693163176706	2.162402389263382e-10	0.22756284150441297	1.0276208887362226e-10	21.12112112112112	10
MayoTerms	0.5878414347023977	8.950374537537365e-06	0.5724045764669202	1.728893059145469e-05	51.48514851485149	10
UMNSRS_relatedness_Terms	0.4933588796748507	2.6008526419936625e-16	0.4898855834857949	4.505786023062838e-16	58.603066439523	10
UMNSRS_similarity_Terms	0.4957738288051966	5.631602120455546e-17	0.49198718039929235	1.0503670768561343e-16	55.65371024734982	10
