Dataset	Pearson Cor	Pearson p-value	Spearman Cor	Spearman p-value	Out-Of-Vocabulary words ratio	Epoch
wordsim353	0.21807564233787677	0.0002358698682606673	0.17689094146597437	0.002976374788892602	20.679886685552407	1
SimLexScores	0.20029178785195578	1.4188697304273541e-08	0.2025615789156833	9.652734123379241e-09	21.12112112112112	1
MayoTerms	0.48806118623856026	0.00037449225274097266	0.4750328293566365	0.0005627615269157553	51.48514851485149	1
UMNSRS_relatedness_Terms	0.43146073938500223	1.9413574068279376e-12	0.4233243763794372	5.512496748224029e-12	58.603066439523	1
UMNSRS_similarity_Terms	0.4786297031531759	8.911995678752259e-16	0.486558979136949	2.5328520074463583e-16	55.65371024734982	1
wordsim353	0.08453552103278945	0.15831885020384084	0.030698244227097073	0.6089992290571642	20.679886685552407	2
SimLexScores	0.18501811729406925	1.6888288025418123e-07	0.19128629677555875	6.26101986244984e-08	21.12112112112112	2
MayoTerms	0.5095382608034673	0.0001845041183046141	0.4690942790596896	0.0006739891493416305	51.48514851485149	2
UMNSRS_relatedness_Terms	0.44843990499407016	2.006265933679728e-13	0.431497701383055	1.932051576619552e-12	58.603066439523	2
UMNSRS_similarity_Terms	0.4617989945069044	1.15848345275051e-14	0.4562595534691755	2.6141450503377818e-14	55.65371024734982	2
wordsim353	0.06835079785062534	0.2543093063680441	0.01817934328377653	0.7619944210610081	20.679886685552407	3
SimLexScores	0.1797899671165103	3.766676297182791e-07	0.1835273176529427	2.1278724951923325e-07	21.12112112112112	3
MayoTerms	0.52097295567347	0.0001241121953982332	0.5008348065088883	0.00024719776367033676	51.48514851485149	3
UMNSRS_relatedness_Terms	0.479827687738909	2.1369596360954884e-15	0.4683378787156924	1.189635939350297e-14	58.603066439523	3
UMNSRS_similarity_Terms	0.4872599088299249	2.26270870906546e-16	0.486759320970202	2.452569427791295e-16	55.65371024734982	3
wordsim353	0.06699409942798769	0.26388041204907914	0.01314729231618781	0.8266332249521176	20.679886685552407	4
SimLexScores	0.17974785251665656	3.790739349939387e-07	0.18274999360427377	2.3985615436476495e-07	21.12112112112112	4
MayoTerms	0.5216549973294851	0.00012115715194882533	0.47795091010599833	0.0005144159486128286	51.48514851485149	4
UMNSRS_relatedness_Terms	0.49794646668987397	1.246572208185604e-16	0.4871759167497137	6.887875862019012e-16	58.603066439523	4
UMNSRS_similarity_Terms	0.49527938624434553	6.111817561944089e-17	0.49227365404343254	1.002254277953866e-16	55.65371024734982	4
wordsim353	0.07738041972112156	0.19671540990287284	0.026889629442611394	0.6541403904724583	20.679886685552407	5
SimLexScores	0.18361083003872541	2.100608798906809e-07	0.18163471324102343	2.845635714312354e-07	21.12112112112112	5
MayoTerms	0.5236278478363094	0.00011296698581304262	0.48132974044736465	0.0004631376223432657	51.48514851485149	5
UMNSRS_relatedness_Terms	0.48929370168940106	4.945045956700336e-16	0.47784763811568604	2.8859537487998065e-15	58.603066439523	5
UMNSRS_similarity_Terms	0.48620252783016693	2.6821049549874176e-16	0.47749464948812187	1.0642295143130351e-15	55.65371024734982	5
wordsim353	0.06760877174543997	0.2595138916797473	0.009999322137278558	0.8677034265895134	20.679886685552407	6
SimLexScores	0.1808137145449642	3.225005117510735e-07	0.18359085000656558	2.1071007103256826e-07	21.12112112112112	6
MayoTerms	0.5427717140116171	5.5976632594908145e-05	0.5139917670805724	0.00015836807846105288	51.48514851485149	6
UMNSRS_relatedness_Terms	0.4766996840616766	3.432093737643924e-15	0.4657214613132758	1.7431493591125656e-14	58.603066439523	6
UMNSRS_similarity_Terms	0.4752971727307788	1.4976708516530099e-15	0.4702094919152859	3.2726446510034546e-15	55.65371024734982	6
wordsim353	0.08944657196041625	0.13543037053221066	0.03629117344484832	0.545345029279829	20.679886685552407	7
SimLexScores	0.20676119734843848	4.677250567410689e-09	0.20634753575603818	5.026680201664519e-09	21.12112112112112	7
MayoTerms	0.5914241049084272	7.644804117059668e-06	0.5631383902277187	2.526885268208405e-05	51.48514851485149	7
UMNSRS_relatedness_Terms	0.4912788238343547	3.6171303189042747e-16	0.4809411743060455	1.803192976110774e-15	58.603066439523	7
UMNSRS_similarity_Terms	0.5021187802970511	1.947355407907031e-17	0.49527460775403465	6.116648996739127e-17	55.65371024734982	7
wordsim353	0.09781684532981574	0.1023878429266798	0.04885872756971318	0.41542039848744705	20.679886685552407	8
SimLexScores	0.2025881043822088	9.609124823977119e-09	0.20133907467671816	1.1884877901392323e-08	21.12112112112112	8
MayoTerms	0.5909397742533647	7.810362282605397e-06	0.5599131430836872	2.8760837804660895e-05	51.48514851485149	8
UMNSRS_relatedness_Terms	0.4965876429274356	1.5517491390047615e-16	0.49052745670182657	4.072585735378027e-16	58.603066439523	8
UMNSRS_similarity_Terms	0.500684582848193	2.4804474486933424e-17	0.4900922805597745	1.430723931939725e-16	55.65371024734982	8
