Dataset	Pearson Cor	Pearson p-value	Spearman Cor	Spearman p-value	Out-Of-Vocabulary words ratio	Epoch
wordsim353	0.20973178413149257	0.00041062326276853527	0.18364198040396865	0.0020324189249387808	20.679886685552407	1
SimLexScores	0.1752358092753982	7.43498367490416e-07	0.18038595484859243	3.4415246737602765e-07	21.12112112112112	1
MayoTerms	0.49045682588255834	0.0003468531459406883	0.4421660251269824	0.0014678647823512308	51.48514851485149	1
UMNSRS_relatedness_Terms	0.4174241981431726	1.1548048490109346e-11	0.41184383621908077	2.2937976020754503e-11	58.603066439523	1
UMNSRS_similarity_Terms	0.4697235226314578	3.5239682418372577e-15	0.46337548290255925	9.164935545734915e-15	55.65371024734982	1
wordsim353	0.1784341296292959	0.0027309732307654426	0.148487323413397	0.012869617807583052	20.679886685552407	2
SimLexScores	0.17448007896971263	8.309156732146106e-07	0.17570578718197105	6.936697297582569e-07	21.12112112112112	2
MayoTerms	0.5221258371617665	0.00011915475708571349	0.47359938618151143	0.0005879776411175045	51.48514851485149	2
UMNSRS_relatedness_Terms	0.4388837334307715	7.309756117315342e-13	0.4358528216077905	1.0923428651541146e-12	58.603066439523	2
UMNSRS_similarity_Terms	0.48973761774470304	1.5155987637155253e-16	0.4855356421591397	2.9848320563325433e-16	55.65371024734982	2
wordsim353	0.18484824155177754	0.0018958802808439945	0.15010927835319446	0.011908735610444919	20.679886685552407	3
SimLexScores	0.17730543023061335	5.470263798006872e-07	0.1812908218445749	2.998992360481338e-07	21.12112112112112	3
MayoTerms	0.5547454121212525	3.529118734178539e-05	0.5155787934530323	0.00014990131974288443	51.48514851485149	3
UMNSRS_relatedness_Terms	0.4550460521394336	8.013710759918575e-14	0.4510010295061358	1.4089428313225834e-13	58.603066439523	3
UMNSRS_similarity_Terms	0.49454079677502616	6.90478470025624e-17	0.4882182496612205	1.9385536953267792e-16	55.65371024734982	3
wordsim353	0.1840353513646796	0.0019869369695490083	0.14197244373862908	0.01745035389767363	20.679886685552407	4
SimLexScores	0.18830680087170906	1.0076231835666163e-07	0.19112861244140772	6.42191126273689e-08	21.12112112112112	4
MayoTerms	0.5792541238190632	1.2962572049876087e-05	0.5138893782823492	0.0001589289858669641	51.48514851485149	4
UMNSRS_relatedness_Terms	0.467788860938979	1.2892809311313258e-14	0.46159716455124344	3.162424411553751e-14	58.603066439523	4
UMNSRS_similarity_Terms	0.4973807459516779	4.3125681744215267e-17	0.4922190153616362	1.011260929988265e-16	55.65371024734982	4
wordsim353	0.18157475976180548	0.0022874316844571484	0.13654788732891882	0.02229076577338465	20.679886685552407	5
SimLexScores	0.18496425847901196	1.703042983041341e-07	0.18444837123583543	1.8451732434108566e-07	21.12112112112112	5
MayoTerms	0.5853780691674018	9.964410031806266e-06	0.5096402431560854	0.00018386419679406097	51.48514851485149	5
UMNSRS_relatedness_Terms	0.47656513471994155	3.502377273624295e-15	0.4712925863016723	7.697173620645104e-15	58.603066439523	5
UMNSRS_similarity_Terms	0.4945284664913951	6.918843696823442e-17	0.49005547533662	1.4393105838137828e-16	55.65371024734982	5
wordsim353	0.17999002873880535	0.002502302141278545	0.13299374508385875	0.02605775102679932	20.679886685552407	6
SimLexScores	0.18169932790752802	2.817677331572647e-07	0.17889319592105474	4.3122948425621356e-07	21.12112112112112	6
MayoTerms	0.6041500718615149	4.299069407335145e-06	0.5359029699003417	7.23668835086681e-05	51.48514851485149	6
UMNSRS_relatedness_Terms	0.4861943380097117	8.025134478959424e-16	0.48009398529257313	2.0520214727044032e-15	58.603066439523	6
UMNSRS_similarity_Terms	0.5008025666851211	2.431665725787651e-17	0.49547912337548045	5.913179292354733e-17	55.65371024734982	6
wordsim353	0.16322972386345447	0.006190419036650101	0.1115109054397195	0.06240562928072711	20.679886685552407	7
SimLexScores	0.18234928182854707	2.5507803527997557e-07	0.18204324062202049	2.6732669412052365e-07	21.12112112112112	7
MayoTerms	0.6010094791881763	4.966726815510494e-06	0.5232579533197739	0.00011446299627642424	51.48514851485149	7
UMNSRS_relatedness_Terms	0.49001131862826447	4.417517390949884e-16	0.48949000559500283	4.794904575368719e-16	58.603066439523	7
UMNSRS_similarity_Terms	0.49892550485428777	3.3323243002353915e-17	0.4966147731992043	4.898423674297354e-17	55.65371024734982	7
wordsim353	0.1576962402448612	0.008204917246175192	0.09737742953357732	0.1039468299676998	20.679886685552407	8
SimLexScores	0.18650827513148543	1.3379857056328805e-07	0.18677063142969605	1.283988462550239e-07	21.12112112112112	8
MayoTerms	0.6154865923976053	2.5199449293706667e-06	0.5432749633724137	5.492111887953656e-05	51.48514851485149	8
UMNSRS_relatedness_Terms	0.4958066154579576	1.759117096123209e-16	0.4985339364851208	1.133625040687151e-16	58.603066439523	8
UMNSRS_similarity_Terms	0.503755060613491	1.4755342871787795e-17	0.5036180103513832	1.5103114226602714e-17	55.65371024734982	8
wordsim353	0.14724518112286425	0.013650980986245738	0.09170086057676675	0.12581595807460066	20.679886685552407	9
SimLexScores	0.192494247282685	5.151399905011496e-08	0.19166608070222424	5.889349233715714e-08	21.12112112112112	9
MayoTerms	0.6265129191965474	1.468488241996461e-06	0.5627288350348257	2.568955407857697e-05	51.48514851485149	9
UMNSRS_relatedness_Terms	0.4997538819110206	9.301647090316901e-17	0.5026030363321587	5.842241975945828e-17	58.603066439523	9
UMNSRS_similarity_Terms	0.5083680032064701	6.695027583481929e-18	0.5114161644366397	3.945544355979886e-18	55.65371024734982	9
wordsim353	0.13963572625061232	0.01940990183205422	0.07892912708890415	0.18787752696255094	20.679886685552407	10
SimLexScores	0.19103710684869904	6.517103470994654e-08	0.189182322516236	8.768282569710513e-08	21.12112112112112	10
MayoTerms	0.6297865282338596	1.245900931074865e-06	0.5634967510215	2.4905947358092435e-05	51.48514851485149	10
UMNSRS_relatedness_Terms	0.48620835050905026	8.007674164303358e-16	0.48967232267786265	4.659464340289699e-16	58.603066439523	10
UMNSRS_similarity_Terms	0.4968841704218742	4.6839865213383307e-17	0.5004193708545599	2.5936318327725666e-17	55.65371024734982	10
