Dataset	Pearson Cor	Pearson p-value	Spearman Cor	Spearman p-value	Out-Of-Vocabulary words ratio	Epoch
wordsim353	0.1154916382933076	0.053561796571469616	0.07542992467244185	0.20827204477819683	20.679886685552407	1
SimLexScores	0.16684001345277163	2.488973441892985e-06	0.16136615115097852	5.302737583535126e-06	21.12112112112112	1
MayoTerms	0.43975867499932614	0.001568878730113935	0.42747323258195	0.002187123401646335	51.48514851485149	1
UMNSRS_relatedness_Terms	0.45332859173619733	1.019243881617324e-13	0.4286416791905497	2.795878452437505e-12	58.603066439523	1
UMNSRS_similarity_Terms	0.46064808592885476	1.3735663366043843e-14	0.44439802686061164	1.422234045289579e-13	55.65371024734982	1
wordsim353	0.027589937153785767	0.6457385971927402	-0.01998853097277543	0.7391274012185314	20.679886685552407	2
SimLexScores	0.1668521484877645	2.484735362003216e-06	0.16601849505570637	2.792558375359604e-06	21.12112112112112	2
MayoTerms	0.4759525695641835	0.000547099494920135	0.4304425077304235	0.002020637876690431	51.48514851485149	2
UMNSRS_relatedness_Terms	0.44817512990073155	2.0805782249048122e-13	0.4271041105812023	3.406458050674262e-12	58.603066439523	2
UMNSRS_similarity_Terms	0.4749264750669111	1.586143402362674e-15	0.4676206049298973	4.847243796952209e-15	55.65371024734982	2
wordsim353	0.02300932872951058	0.7014616848028637	-0.03450412568677689	0.5653231801357903	20.679886685552407	3
SimLexScores	0.1620549572357278	4.8278549899430484e-06	0.16440320857028412	3.49601128601993e-06	21.12112112112112	3
MayoTerms	0.4655216809242364	0.000750066042827507	0.40402619778883236	0.003989076936062282	51.48514851485149	3
UMNSRS_relatedness_Terms	0.44806294673690733	2.1128680712916831e-13	0.42956079145689324	2.4833120173942833e-12	58.603066439523	3
UMNSRS_similarity_Terms	0.4689407230457436	3.969036152738441e-15	0.4607558616586603	1.3518718614156992e-14	55.65371024734982	3
wordsim353	0.04560216986285219	0.44722340139919864	-0.009805529408543068	0.8702445867506098	20.679886685552407	4
SimLexScores	0.17521718045610304	7.455427328154984e-07	0.17584950445362904	6.790846793112128e-07	21.12112112112112	4
MayoTerms	0.44527584034887635	0.0013459752023437226	0.37704674945701344	0.007572766664987892	51.48514851485149	4
UMNSRS_relatedness_Terms	0.4654338569672373	1.8175521500877816e-14	0.45708523490891073	6.012588892126261e-14	58.603066439523	4
UMNSRS_similarity_Terms	0.489823502608798	1.4946036730651256e-16	0.4844743616523051	3.5369003031612913e-16	55.65371024734982	4
