Dataset	Pearson Cor	Pearson p-value	Spearman Cor	Spearman p-value	Out-Of-Vocabulary words ratio	Epoch
wordsim353	0.197005386268889	0.0009186520731746367	0.15399770622201125	0.00985832118111265	20.679886685552407	1
SimLexScores	0.16525914047679782	3.104466883573767e-06	0.1735049877027668	9.583870803573434e-07	21.12112112112112	1
MayoTerms	0.588048130838803	8.869779942512138e-06	0.5753738516153937	1.5271863713512576e-05	51.48514851485149	1
UMNSRS_relatedness_Terms	0.45617755946535016	6.834430121998389e-14	0.44207794640717946	4.766099658819149e-13	58.603066439523	1
UMNSRS_similarity_Terms	0.4869082123771308	2.394524634154149e-16	0.4907608455411983	1.2832065765497694e-16	55.65371024734982	1
wordsim353	0.11217425167394661	0.06085357728934453	0.07690264007783935	0.19950208796946808	20.679886685552407	2
SimLexScores	0.1891479371402517	8.816402397988515e-08	0.19088180377872338	6.681794761224807e-08	21.12112112112112	2
MayoTerms	0.5536709775047245	3.680932893542663e-05	0.49653447698351305	0.0002848182582117707	51.48514851485149	2
UMNSRS_relatedness_Terms	0.46479188991420156	1.9950030898438655e-14	0.44569208986396186	2.921797716076919e-13	58.603066439523	2
UMNSRS_similarity_Terms	0.4883169774682248	1.9078667662762027e-16	0.47657717495629287	1.2277661791045144e-15	55.65371024734982	2
wordsim353	0.10449897884399433	0.0808870692395865	0.06919275079794933	0.24849184446039582	20.679886685552407	3
SimLexScores	0.18644358130261973	1.3516340134933696e-07	0.18381718018429521	2.0346801904611917e-07	21.12112112112112	3
MayoTerms	0.5479008700230833	4.603864727812932e-05	0.5165514870361528	0.0001449178963863308	51.48514851485149	3
UMNSRS_relatedness_Terms	0.49783969681590784	1.2682520333130673e-16	0.48530465769971937	9.213454105536055e-16	58.603066439523	3
UMNSRS_similarity_Terms	0.504118947832049	1.3869624274580328e-17	0.49779861130479014	4.0225204599711666e-17	55.65371024734982	3
wordsim353	0.1178332154545342	0.048864312172719616	0.0745604540516977	0.21357843986352287	20.679886685552407	4
SimLexScores	0.18444686165137583	1.8456054752149034e-07	0.1831183120318778	2.266401903443424e-07	21.12112112112112	4
MayoTerms	0.5636587425704589	2.474348029811485e-05	0.5221828709384301	0.0001189142634207691	51.48514851485149	4
UMNSRS_relatedness_Terms	0.5018230015845803	6.638417635979236e-17	0.4904668237270222	4.1116970472652553e-16	58.603066439523	4
UMNSRS_similarity_Terms	0.4986444027409877	3.4927553395497075e-17	0.4912916755122607	1.176792486245721e-16	55.65371024734982	4
wordsim353	0.1558516372601042	0.00899585976752914	0.11837537735715693	0.04782716082743618	20.679886685552407	5
SimLexScores	0.18209980184869898	2.6502103974896324e-07	0.181926194431067	2.7215951776263693e-07	21.12112112112112	5
MayoTerms	0.5927427642633843	7.210347550889247e-06	0.5320633899669709	8.333755592469994e-05	51.48514851485149	5
UMNSRS_relatedness_Terms	0.5199993168486411	3.101374808334349e-18	0.507174762632402	2.7448647184015526e-17	58.603066439523	5
UMNSRS_similarity_Terms	0.5254780048043792	3.209089011583667e-19	0.5206421335191141	7.706301812955028e-19	55.65371024734982	5
wordsim353	0.15843378390771845	0.0079064042786791	0.11092460726886248	0.06380438370001938	20.679886685552407	6
SimLexScores	0.18393704310701842	1.9973053766680069e-07	0.18871835607507118	9.43950094465204e-08	21.12112112112112	6
MayoTerms	0.625983553391304	1.5077773367287073e-06	0.6003055239827482	5.128992828508433e-06	51.48514851485149	6
UMNSRS_relatedness_Terms	0.5229701347922578	1.8468519626730006e-18	0.5136135663981704	9.291060764494533e-18	58.603066439523	6
UMNSRS_similarity_Terms	0.5273817772010624	2.26426632694402e-19	0.5254784157286646	3.2088482188928227e-19	55.65371024734982	6
wordsim353	0.16056118819045279	0.007098829224733499	0.1113818925088829	0.06271123583019521	20.679886685552407	7
SimLexScores	0.178683455427617	4.4504796393343507e-07	0.1789241098495402	4.292280238453849e-07	21.12112112112112	7
MayoTerms	0.6338260609838399	1.014491339075448e-06	0.6164829541020171	2.401965165680561e-06	51.48514851485149	7
UMNSRS_relatedness_Terms	0.517946870082745	4.423873583144674e-18	0.5132439143310876	9.893364923224427e-18	58.603066439523	7
UMNSRS_similarity_Terms	0.5255601454673852	3.1613073602767187e-19	0.5206083637782817	7.753210706568075e-19	55.65371024734982	7
wordsim353	0.15716016809165706	0.008428140260875508	0.1053677579385486	0.07838147919036634	20.679886685552407	8
SimLexScores	0.17631659609479175	6.336913635412577e-07	0.17883976792168496	4.347097780683883e-07	21.12112112112112	8
MayoTerms	0.6397436840880856	7.467697536534098e-07	0.5919096425284439	7.482095210593302e-06	51.48514851485149	8
UMNSRS_relatedness_Terms	0.527311618159236	8.579293019144668e-19	0.5194447859405549	3.4145381052456952e-18	58.603066439523	8
UMNSRS_similarity_Terms	0.5265358466744363	2.644496383848278e-19	0.5200581826074165	8.558140431312797e-19	55.65371024734982	8
wordsim353	0.13945943924664692	0.01956520471187501	0.08717666135810687	0.14567195713258158	20.679886685552407	9
SimLexScores	0.1791526477451491	4.147068110613181e-07	0.18147630541548776	2.915313776886138e-07	21.12112112112112	9
MayoTerms	0.6367198544688267	8.740394070482642e-07	0.5882236457924079	8.801870481048062e-06	51.48514851485149	9
UMNSRS_relatedness_Terms	0.5303482192927077	4.985373044622816e-19	0.5230530751790804	1.8201842795184953e-18	58.603066439523	9
UMNSRS_similarity_Terms	0.5258928055613953	2.9748391314607524e-19	0.5235410191366385	4.565665365700314e-19	55.65371024734982	9
wordsim353	0.13520388947472084	0.023655899604719893	0.08539508024964715	0.1541152414888867	20.679886685552407	10
SimLexScores	0.17382066453055842	9.151913650806067e-07	0.17772575060271625	5.137498246449125e-07	21.12112112112112	10
MayoTerms	0.6482836711015268	4.7434739606383287e-07	0.6011758287676454	4.929083068555089e-06	51.48514851485149	10
UMNSRS_relatedness_Terms	0.5271859372554452	8.773202156948375e-19	0.5219549910974524	2.2059998706647597e-18	58.603066439523	10
UMNSRS_similarity_Terms	0.5169481879399861	1.490769898463757e-18	0.5119177778903526	3.614890724495934e-18	55.65371024734982	10
