Dataset	Pearson Cor	Pearson p-value	Spearman Cor	Spearman p-value	Out-Of-Vocabulary words ratio	Epoch
wordsim353	0.19383903769947652	0.0011140754154142407	0.16311252445211344	0.0062280179283155405	20.679886685552407	1
SimLexScores	0.19322814558004392	4.57286312436667e-08	0.19397644620721896	4.047895912498421e-08	21.12112112112112	1
MayoTerms	0.5123463175879024	0.00016760406815087016	0.46504992152987246	0.0007606681810338412	51.48514851485149	1
UMNSRS_relatedness_Terms	0.4457081496520561	2.915413807304663e-13	0.4300705266036962	2.32492928102276e-12	58.603066439523	1
UMNSRS_similarity_Terms	0.48193072382371727	5.29950627741682e-16	0.48549162766547044	3.0059493606423693e-16	55.65371024734982	1
wordsim353	0.0780837391060298	0.19266500793024982	0.0543346704857736	0.36504437534274103	20.679886685552407	2
SimLexScores	0.18661006980056222	1.3167793351514367e-07	0.1849634848391236	1.7032479973370568e-07	21.12112112112112	2
MayoTerms	0.48381758104268324	0.0004283808763845372	0.4296745917437494	0.002062578931633343	51.48514851485149	2
UMNSRS_relatedness_Terms	0.4651640260253697	1.8901745614683622e-14	0.4527660763106109	1.1024513064339275e-13	58.603066439523	2
UMNSRS_similarity_Terms	0.49467435039729024	6.754289624896307e-17	0.49765252871804305	4.1216758917176536e-17	55.65371024734982	2
wordsim353	0.11534598343686343	0.05386598228206211	0.07682446698839175	0.19996075415631875	20.679886685552407	3
SimLexScores	0.18353895093049136	2.124054303631773e-07	0.1834437114790379	2.1555085283120496e-07	21.12112112112112	3
MayoTerms	0.503584811917592	0.00022556536366055195	0.45644926247912176	0.0009790722508921266	51.48514851485149	3
UMNSRS_relatedness_Terms	0.48232591180213963	1.4586355688054859e-15	0.4676253367221303	1.3205059767506894e-14	58.603066439523	3
UMNSRS_similarity_Terms	0.5096579033193138	5.3561522768826084e-18	0.5097049112776039	5.312682315274101e-18	55.65371024734982	3
wordsim353	0.10266595750358165	0.08638578665027008	0.07153903681129978	0.23277093007259905	20.679886685552407	4
