Dataset	Pearson Cor	Pearson p-value	Spearman Cor	Spearman p-value	Out-Of-Vocabulary words ratio	Epoch
wordsim353	0.2694205978428795	6.810128509045906e-05	0.23247728300583065	0.0006264290033743824	39.6600566572238	1
SimLexScores	0.19789859927502268	1.1427564527632649e-06	0.220613839018501	5.413505124950846e-08	40.44044044044044	1
MayoTerms	0.5339497906710391	0.005974751474027796	0.42218848268253545	0.035526637413895876	75.24752475247524	1
UMNSRS_relatedness_Terms	0.2660372295374621	0.0011263927836029637	0.2215180607962	0.0070089281691738505	74.95741056218058	1
UMNSRS_similarity_Terms	0.273112625512078	0.0004375553796265633	0.2801623581447929	0.00030518507108851455	71.37809187279152	1
wordsim353	0.22411791901560005	0.0009889758802519631	0.1811955978852964	0.008028222734540853	39.6600566572238	2
SimLexScores	0.20162972965216358	7.087359557826242e-07	0.22073851613662132	5.318626236775661e-08	40.44044044044044	2
MayoTerms	0.5021914834415607	0.010524109449258523	0.44645661626738925	0.02527419586066849	75.24752475247524	2
UMNSRS_relatedness_Terms	0.3732853933131292	3.213849884597869e-06	0.35110622080985826	1.299244628310121e-05	74.95741056218058	2
UMNSRS_similarity_Terms	0.32341793829923937	2.6934537461941143e-05	0.33545501632190494	1.278794923365263e-05	71.37809187279152	2
wordsim353	0.20392563223062704	0.002788236231203627	0.16714482596868943	0.014596063201608231	39.6600566572238	3
SimLexScores	0.20152519428981297	7.183739880178217e-07	0.21884870498704614	6.945625715922314e-08	40.44044044044044	3
MayoTerms	0.47023420989547865	0.01768888928610994	0.41024702012490905	0.04166195957953217	75.24752475247524	3
UMNSRS_relatedness_Terms	0.4563692495733938	6.270811598825417e-09	0.4476489561149916	1.309688870140854e-08	74.95741056218058	3
UMNSRS_similarity_Terms	0.3486072465171317	5.464308986236381e-06	0.352071886947698	4.339658920569539e-06	71.37809187279152	3
wordsim353	0.1636292885176949	0.01684056282537616	0.1304659095933389	0.05729992422806978	39.6600566572238	4
SimLexScores	0.1802669215021466	9.678660660059425e-06	0.189685824096718	3.1686617494267906e-06	40.44044044044044	4
MayoTerms	0.4824577896541523	0.014583891350209172	0.41486952176011926	0.03919485513717934	75.24752475247524	4
UMNSRS_relatedness_Terms	0.4765614908804406	1.0503867264226352e-09	0.4740414720648894	1.3211938398792806e-09	74.95741056218058	4
UMNSRS_similarity_Terms	0.35473492829843883	3.628469295711925e-06	0.35807704955282355	2.8918029552421026e-06	71.37809187279152	4
wordsim353	0.18025214870531003	0.008368062668260968	0.1486302686745365	0.030122057900170914	39.6600566572238	5
SimLexScores	0.18552992671074922	5.222279603198657e-06	0.19107094500666433	2.6760462158555045e-06	40.44044044044044	5
MayoTerms	0.43910541713392254	0.028088767123051014	0.41872160645612777	0.03722857583523471	75.24752475247524	5
UMNSRS_relatedness_Terms	0.4996360238884088	1.1765056061481193e-10	0.5142592688791803	2.6934269101439388e-11	74.95741056218058	5
UMNSRS_similarity_Terms	0.3731395252493144	1.0067708277552724e-06	0.3894647854724462	3.016503707843964e-07	71.37809187279152	5
wordsim353	0.17544955035673465	0.010303758031156789	0.1459373437639207	0.033273927257709335	39.6600566572238	6
SimLexScores	0.17945604998663126	1.0627318664069453e-05	0.18990977006488377	3.083525660364545e-06	40.44044044044044	6
MayoTerms	0.4565575710001866	0.021782532681839183	0.4144843132905183	0.03939592016739251	75.24752475247524	6
UMNSRS_relatedness_Terms	0.4874073045272994	3.830581114453451e-10	0.4869336078620588	4.0060798331843606e-10	74.95741056218058	6
UMNSRS_similarity_Terms	0.3811846645821012	5.604459646841505e-07	0.3911414325170735	2.6553651164040903e-07	71.37809187279152	6
wordsim353	0.17277276091518595	0.011546136500178526	0.14873209936057316	0.03000805068968539	39.6600566572238	7
SimLexScores	0.17220683894805067	2.4071509986169035e-05	0.17535245608054853	1.6950392130272777e-05	40.44044044044044	7
MayoTerms	0.43884206735877423	0.0281940836526077	0.39522388981047574	0.050535883397694194	75.24752475247524	7
UMNSRS_relatedness_Terms	0.49223859274340426	2.416211686257657e-10	0.49308972076505886	2.2261469387599307e-10	74.95741056218058	7
UMNSRS_similarity_Terms	0.3843185545003075	4.4419949168770444e-07	0.3838928978190887	4.5851332086666163e-07	71.37809187279152	7
wordsim353	0.17400438567857468	0.010958988280036875	0.14225156966444752	0.03803867598911938	39.6600566572238	8
SimLexScores	0.1732046483901565	2.1551412674867217e-05	0.17925231189936658	1.0879242163268193e-05	40.44044044044044	8
MayoTerms	0.43932751009362964	0.028000195589132085	0.32511594834312035	0.11278812095464402	75.24752475247524	8
UMNSRS_relatedness_Terms	0.4856360425601337	4.527508972533581e-10	0.4749708392168611	1.2142896220141998e-09	74.95741056218058	8
UMNSRS_similarity_Terms	0.39114316356316636	2.655014581288956e-07	0.38445460280542004	4.397152650880087e-07	71.37809187279152	8
wordsim353	0.17796168084526817	0.00924681894142998	0.14556541339235998	0.03373052502181382	39.6600566572238	9
SimLexScores	0.18211137862655308	7.812217689166807e-06	0.18591830775489032	4.986370372440877e-06	40.44044044044044	9
MayoTerms	0.4142973877266687	0.03949378241390907	0.32627157375192295	0.11144053410401047	75.24752475247524	9
UMNSRS_relatedness_Terms	0.49565166674693106	1.737242680127241e-10	0.4930217182905243	2.2407852872128714e-10	74.95741056218058	9
UMNSRS_similarity_Terms	0.39762276028832905	1.611173221487536e-07	0.4017841895570858	1.1624288643112357e-07	71.37809187279152	9
wordsim353	0.17131097864381167	0.01227883549022872	0.14269676845644924	0.037434164607586674	39.6600566572238	10
SimLexScores	0.18055225084999255	9.364469566070638e-06	0.1862036950170441	4.819546885348981e-06	40.44044044044044	10
MayoTerms	0.43791636120003496	0.028566804291498174	0.35131012427597846	0.0850693762262084	75.24752475247524	10
UMNSRS_relatedness_Terms	0.4946689888907773	1.9110561755699726e-10	0.4878743087597863	3.6648439235828047e-10	74.95741056218058	10
UMNSRS_similarity_Terms	0.38637303674045087	3.809102453057135e-07	0.379160745007106	6.50393273395735e-07	71.37809187279152	10
