Dataset	Pearson Cor	Pearson p-value	Spearman Cor	Spearman p-value	Out-Of-Vocabulary words ratio	Epoch
wordsim353	0.2818741983783186	2.9854556827420902e-05	0.25285025032015257	0.00019201655165339553	39.6600566572238	1
SimLexScores	0.20074910971282187	7.939717576136905e-07	0.22864054447708762	1.697590011455209e-08	40.44044044044044	1
MayoTerms	0.5103512263851366	0.009145119001414147	0.3917570135840681	0.052779371807902625	75.24752475247524	1
UMNSRS_relatedness_Terms	0.3224771046330697	6.793639784035153e-05	0.2841861189950124	0.00048598040638127965	74.95741056218058	1
UMNSRS_similarity_Terms	0.2965734640812517	0.00012704753945732067	0.30730908028570747	6.955312233022758e-05	71.37809187279152	1
wordsim353	0.2329776366698116	0.0006092221077294304	0.18540356471011613	0.006657259303115819	39.6600566572238	2
SimLexScores	0.19585440140798985	1.4789767138269511e-06	0.2154580399755204	1.1145076681629016e-07	40.44044044044044	2
MayoTerms	0.5073781573013906	0.009629019074720635	0.4237293165609389	0.034790371445531196	75.24752475247524	2
UMNSRS_relatedness_Terms	0.41559603640925735	1.6537848670170933e-07	0.39434068295280555	7.729398818821833e-07	74.95741056218058	2
UMNSRS_similarity_Terms	0.33853468483840166	1.0515520487193833e-05	0.34908694713339933	5.293575893970211e-06	71.37809187279152	2
wordsim353	0.20797212608256438	0.002282169364332892	0.1654621359738154	0.015635429626126667	39.6600566572238	3
SimLexScores	0.1668439731137675	4.315499887174493e-05	0.17962511841569243	1.042249259302953e-05	40.44044044044044	3
MayoTerms	0.48521295020233246	0.013949910014443664	0.45647203647701146	0.021810362082675713	75.24752475247524	3
UMNSRS_relatedness_Terms	0.4478689352294809	1.2859070111294947e-08	0.44089215468693665	2.285047251998137e-08	74.95741056218058	3
UMNSRS_similarity_Terms	0.3563363070174053	3.255670074758068e-06	0.3763987936044666	7.955920934540513e-07	71.37809187279152	3
wordsim353	0.20162725387659308	0.0031190614959720015	0.16346960748911027	0.016949291774756216	39.6600566572238	4
SimLexScores	0.17666932470895239	1.4608780443097566e-05	0.19025725376695124	2.9557432663539704e-06	40.44044044044044	4
MayoTerms	0.494412384320967	0.011995114313419462	0.45107911790259947	0.023624133088115822	75.24752475247524	4
UMNSRS_relatedness_Terms	0.45402995852949635	7.656094339764431e-09	0.45238457288327055	8.802139127213084e-09	74.95741056218058	4
UMNSRS_similarity_Terms	0.3726208218741952	1.044959288468226e-06	0.38717703727434777	3.585705769771208e-07	71.37809187279152	4
wordsim353	0.16439318552110418	0.016328783458473387	0.13276889748669235	0.053006205093477116	39.6600566572238	5
SimLexScores	0.18034271073883487	9.59423930926656e-06	0.1919628264883788	2.3986139240599275e-06	40.44044044044044	5
MayoTerms	0.4888031159985622	0.013157989458895852	0.42334410809133804	0.0349732885591884	75.24752475247524	5
UMNSRS_relatedness_Terms	0.4601505346033608	4.527098785593132e-09	0.4612097829117505	4.1292494653079155e-09	74.95741056218058	5
UMNSRS_similarity_Terms	0.381149704098506	5.618935573142694e-07	0.39793834511549536	1.5720211286349428e-07	71.37809187279152	5
