Dataset	Pearson Cor	Pearson p-value	Spearman Cor	Spearman p-value	Out-Of-Vocabulary words ratio	Epoch
wordsim353	0.3116441631997998	3.525678381304065e-06	0.28095800334153953	3.176499465848959e-05	39.6600566572238	1
SimLexScores	0.2005808563903723	8.113410625191934e-07	0.2212796666712453	4.925117887951624e-08	40.44044044044044	1
MayoTerms	0.5009344653421682	0.010751120036954685	0.4491530755545952	0.024300733349450283	75.24752475247524	1
UMNSRS_relatedness_Terms	0.282381108813974	0.0005297187458194587	0.25937088266279035	0.001512212306856724	74.95741056218058	1
UMNSRS_similarity_Terms	0.27447947182793175	0.000408338739211559	0.2781385266111266	0.00033877315406922884	71.37809187279152	1
wordsim353	0.19968906333682385	0.003425224619521621	0.17054187281811967	0.012680519874412273	39.6600566572238	2
SimLexScores	0.20440618367142602	4.937973745220849e-07	0.2172988291190903	8.629780836057546e-08	40.44044044044044	2
MayoTerms	0.535317394647741	0.005823761199971006	0.44067848922337644	0.02746624373642761	75.24752475247524	2
UMNSRS_relatedness_Terms	0.38678087479483725	1.3041131416144441e-06	0.3748447512952838	2.901716380688154e-06	74.95741056218058	2
UMNSRS_similarity_Terms	0.34491146291891717	6.966144444255645e-06	0.351198280448856	4.600470995133054e-06	71.37809187279152	2
wordsim353	0.19007613144906996	0.005383154170832821	0.1543787350850693	0.024237022011290108	39.6600566572238	3
SimLexScores	0.18860840328506745	3.610674309921503e-06	0.19739316015883107	1.2183085730369096e-06	40.44044044044044	3
MayoTerms	0.4998470156206957	0.01095076724002313	0.3986907660368834	0.04836760774546919	75.24752475247524	3
UMNSRS_relatedness_Terms	0.4634632481805547	3.3917913234411073e-09	0.46010285374293863	4.545849200835219e-09	74.95741056218058	3
UMNSRS_similarity_Terms	0.37181753789871513	1.106836808920884e-06	0.3843388746424071	4.435269639237608e-07	71.37809187279152	3
wordsim353	0.18304299180960026	0.007398114332199585	0.14523073814983706	0.03414592338876415	39.6600566572238	4
SimLexScores	0.19004398816309445	3.0335544968447347e-06	0.20275347866905033	6.126730823109395e-07	40.44044044044044	4
MayoTerms	0.4649347821806483	0.019193200823330377	0.39098659664486635	0.05328830600612718	75.24752475247524	4
UMNSRS_relatedness_Terms	0.500831256147104	1.0456603806304762e-10	0.5019205976664167	9.387519965140247e-11	74.95741056218058	4
UMNSRS_similarity_Terms	0.39299722441663093	2.30392817321744e-07	0.4010418357309293	1.2325367371205185e-07	71.37809187279152	4
wordsim353	0.18501084589968078	0.006775722960229685	0.1475374515560943	0.031368993058440556	39.6600566572238	5
SimLexScores	0.17335144541053044	2.1202506820264553e-05	0.18332014143661168	6.781001488394701e-06	40.44044044044044	5
MayoTerms	0.43511975035645356	0.029716905713070896	0.3482284565191716	0.08803291880647898	75.24752475247524	5
UMNSRS_relatedness_Terms	0.5182824867890979	1.773160264026063e-11	0.5178123981736089	1.8624503972348762e-11	74.95741056218058	5
UMNSRS_similarity_Terms	0.3903849522141762	2.8128641485329545e-07	0.3981429863793598	1.5471217589346914e-07	71.37809187279152	5
wordsim353	0.17195125963837943	0.011953014409277953	0.14441360898627462	0.03517841801923295	39.6600566572238	6
SimLexScores	0.17455130421063347	1.854511233092834e-05	0.18507288466468927	5.513552841566191e-06	40.44044044044044	6
MayoTerms	0.43905224290449607	0.028110006581796385	0.3555474174415878	0.08111816340400432	75.24752475247524	6
UMNSRS_relatedness_Terms	0.5124298054125277	3.251484010805424e-11	0.5113880532877227	3.617686048575289e-11	74.95741056218058	6
UMNSRS_similarity_Terms	0.3870918598302254	3.608766040409442e-07	0.39434230414772564	2.0775170841172294e-07	71.37809187279152	6
wordsim353	0.17540757453597172	0.010322290317961546	0.13839690564666962	0.043625585996908786	39.6600566572238	7
SimLexScores	0.1813091357273329	8.57742390519815e-06	0.19057995586226417	2.8416245118093774e-06	40.44044044044044	7
MayoTerms	0.3743644216510097	0.06522832981959736	0.28389864209582905	0.16903430701955977	75.24752475247524	7
UMNSRS_relatedness_Terms	0.5067037273759682	5.8199383639134725e-11	0.5047143659952099	7.106669290047041e-11	74.95741056218058	7
UMNSRS_similarity_Terms	0.38479067835180203	4.288226856503675e-07	0.39072791603216117	2.7403825720105133e-07	71.37809187279152	7
wordsim353	0.17612572628538048	0.010009252224368197	0.13710104807497142	0.045651968439187306	39.6600566572238	8
SimLexScores	0.1723586860147794	2.367074113993249e-05	0.1797253272577183	1.0302870537283561e-05	40.44044044044044	8
