Dataset	Pearson Cor	Pearson p-value	Spearman Cor	Spearman p-value	Out-Of-Vocabulary words ratio	Epoch
wordsim353	0.2625712043079147	0.00011369099226742043	0.2405618393055083	0.00042265311731431597	40.226628895184135	1
SimLexScores	0.21675051654141628	9.086509450050994e-08	0.2361089131193008	5.387289478796089e-09	40.34034034034034	1
MayoTerms	0.5263094745176485	0.004015383759378225	0.4287673807573711	0.022809541799627287	72.27722772277228	1
UMNSRS_relatedness_Terms	0.3252429453390854	5.8312048624226803e-05	0.31390886723947564	0.00010804144696918319	74.95741056218058	1
UMNSRS_similarity_Terms	0.30683832345078	7.145031448875427e-05	0.2992264560225924	0.0001097115802908705	71.37809187279152	1
wordsim353	0.202333226862009	0.0031552194606428224	0.15941899855170472	0.020515992135620133	40.226628895184135	2
SimLexScores	0.2040288024357317	5.074970140757712e-07	0.21587704706118352	1.0260697704074931e-07	40.34034034034034	2
MayoTerms	0.5023820680942934	0.006442584923352086	0.40794545044583097	0.031163969303811424	72.27722772277228	2
UMNSRS_relatedness_Terms	0.4134316868899188	1.9445013168574612e-07	0.3944256860459737	7.683501744600144e-07	74.95741056218058	2
UMNSRS_similarity_Terms	0.36602878471977307	1.6678341602336345e-06	0.3876060782689325	3.471676414189752e-07	71.37809187279152	2
wordsim353	0.18010055331413277	0.008740349943198287	0.1355842671569853	0.0491984721171379	40.226628895184135	3
SimLexScores	0.2034455689504565	5.477378752822645e-07	0.2108450767547981	2.0461952565209338e-07	40.34034034034034	3
MayoTerms	0.5045462548154476	0.006181315627707149	0.36164405277938	0.058629053876992854	72.27722772277228	3
UMNSRS_relatedness_Terms	0.45807610732901444	5.415798639046078e-09	0.4653654896888601	2.8695947325703107e-09	74.95741056218058	3
UMNSRS_similarity_Terms	0.39567370222815224	1.8744794511266606e-07	0.4134981377644989	4.526304657761184e-08	71.37809187279152	3
wordsim353	0.1559044664667238	0.023509092476690214	0.13250296622577462	0.05463529617710084	40.226628895184135	4
SimLexScores	0.20100672774289155	7.518005873471036e-07	0.20812438120485058	2.951185884169241e-07	40.34034034034034	4
MayoTerms	0.4587614226576566	0.0140701676775081	0.31232895467310096	0.10563793292019936	72.27722772277228	4
UMNSRS_relatedness_Terms	0.47774971288792456	9.421007630391825e-10	0.46383354505420743	3.2834445539983018e-09	74.95741056218058	4
UMNSRS_similarity_Terms	0.39598318759738454	1.8300814039258452e-07	0.39439028899580425	2.0698471454001454e-07	71.37809187279152	4
wordsim353	0.1371796308252951	0.04656549949418127	0.09824904312502108	0.15499289322892543	40.226628895184135	5
SimLexScores	0.19204095833711468	2.32963051585948e-06	0.19136995613538357	2.530124009694628e-06	40.34034034034034	5
MayoTerms	0.5116950098080417	0.005381080430295491	0.4542468481122819	0.015171752264697165	72.27722772277228	5
