Dataset	Pearson Cor	Pearson p-value	Spearman Cor	Spearman p-value	Out-Of-Vocabulary words ratio	Epoch
wordsim353	0.24746047399564852	0.00028360064291319215	0.22059406393018138	0.001259280245998375	40.226628895184135	1
SimLexScores	0.19884717866581658	9.919247175480313e-07	0.2252364188710575	2.716955221960982e-08	40.34034034034034	1
MayoTerms	0.5244648511225931	0.004169486180443196	0.4808222065362212	0.009595960692644841	72.27722772277228	1
UMNSRS_relatedness_Terms	0.40911977615779693	2.675809411988919e-07	0.38022072469876284	2.0319438090027134e-06	74.95741056218058	1
UMNSRS_similarity_Terms	0.3610121654199811	2.364234445581716e-06	0.3599724510519267	2.5396717410818957e-06	71.37809187279152	1
wordsim353	0.18592564500426845	0.006762107421297473	0.14394989698618646	0.036665752812966634	40.226628895184135	2
SimLexScores	0.19036375804963462	2.8620190520160766e-06	0.20333702607697698	5.555581370331187e-07	40.34034034034034	2
MayoTerms	0.5172725239278757	0.004819463507915294	0.4334249178007418	0.021217527565579722	72.27722772277228	2
UMNSRS_relatedness_Terms	0.42819706270306285	6.296067011627776e-08	0.42294894619795304	9.4586327996385e-08	74.95741056218058	2
UMNSRS_similarity_Terms	0.33859407314851786	1.0475705801957961e-05	0.36491630172307943	1.8029315252234632e-06	71.37809187279152	2
wordsim353	0.16189001354290225	0.0186144819299654	0.12602099237628747	0.06770324467759191	40.226628895184135	3
SimLexScores	0.21200242105133804	1.7484213568073405e-07	0.2184934743639123	7.11897048563963e-08	40.34034034034034	3
MayoTerms	0.5015703729272921	0.006542955150716417	0.40219202233343176	0.03386300082090468	72.27722772277228	3
UMNSRS_relatedness_Terms	0.4763482626825874	1.0710494858839674e-09	0.4670617736369712	2.4700042884841355e-09	74.95741056218058	3
UMNSRS_similarity_Terms	0.39449901976856505	2.0525676977400005e-07	0.41302393455995784	4.705789586295671e-08	71.37809187279152	3
wordsim353	0.11789864403044353	0.08756834271104473	0.07997457802511697	0.24741515142156636	40.226628895184135	4
SimLexScores	0.20907560834153002	2.5979432852782996e-07	0.21749936916156268	8.184107963808703e-08	40.34034034034034	4
MayoTerms	0.4871711271093415	0.008555782089741433	0.4435619101892548	0.0180658063765738	72.27722772277228	4
UMNSRS_relatedness_Terms	0.46351752087486836	3.3756987708734204e-09	0.47738114914758467	9.7448087158892e-10	74.95741056218058	4
UMNSRS_similarity_Terms	0.372723099022239	1.0373216971198325e-06	0.40223298901852644	1.1219155500051235e-07	71.37809187279152	4
wordsim353	0.12024238627970175	0.08140807959473488	0.08367226689136459	0.2261586487081776	40.226628895184135	5
SimLexScores	0.2021492695973987	6.484594046312231e-07	0.21421822115476535	1.2906392973773825e-07	40.34034034034034	5
MayoTerms	0.45949442833585097	0.013897736506778927	0.3865755745997767	0.04214574832788736	72.27722772277228	5
UMNSRS_relatedness_Terms	0.4428837570575763	1.941738863328946e-08	0.4443395023543116	1.7227503127362945e-08	74.95741056218058	5
UMNSRS_similarity_Terms	0.3531375606638312	4.040489088052869e-06	0.3600585415146558	2.5246877001122696e-06	71.37809187279152	5
wordsim353	0.1142284628339475	0.09795928208901769	0.06951642293666081	0.3148957751877408	40.226628895184135	6
SimLexScores	0.2158023903500117	1.0367590077662968e-07	0.2224279214646588	4.0732081307509614e-08	40.34034034034034	6
MayoTerms	0.3876708479593701	0.04151677142681521	0.31643854618195755	0.10088784759567425	72.27722772277228	6
UMNSRS_relatedness_Terms	0.4996323688487323	1.1769290382286062e-10	0.4963991745257389	1.615363079458115e-10	74.95741056218058	6
UMNSRS_similarity_Terms	0.39321613961949775	2.2655359187284803e-07	0.4081816988612067	6.975891472523982e-08	71.37809187279152	6
wordsim353	0.11288026743393939	0.10201328009774611	0.08213544888960406	0.2348305298027618	40.226628895184135	7
SimLexScores	0.2105757406869374	2.1222025752065258e-07	0.21469671009681315	1.2082275262306862e-07	40.34034034034034	7
MayoTerms	0.39037274909376296	0.039997100504244605	0.30657552656070175	0.11256581185275691	72.27722772277228	7
