Dataset	Pearson Cor	Pearson p-value	Spearman Cor	Spearman p-value	Out-Of-Vocabulary words ratio	Epoch
wordsim353	0.14517137083165904	0.015048593139026166	0.09650331226066321	0.10710380821159615	20.679886685552407	1
SimLexScores	0.17469771718984697	8.047763600423482e-07	0.1697236783748657	1.6544613220221057e-06	21.12112112112112	1
MayoTerms	0.4704220889897382	0.000647532644702772	0.4505107121821749	0.0011610700093168714	51.48514851485149	1
UMNSRS_relatedness_Terms	0.4330381503444834	1.5806047190690644e-12	0.4158217775246889	1.4081774348546787e-11	58.603066439523	1
UMNSRS_similarity_Terms	0.46742548192192873	4.992226666306803e-15	0.4671269596172796	5.222285634884683e-15	55.65371024734982	1
wordsim353	0.08705023154496196	0.14625927472843367	0.03387136099422024	0.5724800388106955	20.679886685552407	2
SimLexScores	0.15947896542503207	6.843376320582864e-06	0.152014595814878	1.8240423610256287e-05	21.12112112112112	2
MayoTerms	0.5411996262989772	5.939477819114118e-05	0.5207494277633049	0.00012509486501135778	51.48514851485149	2
UMNSRS_relatedness_Terms	0.4462001823946325	2.7262909545124895e-13	0.4272299762737271	3.3519456992407754e-12	58.603066439523	2
UMNSRS_similarity_Terms	0.4585078284666765	1.882133608457602e-14	0.4538095398000191	3.729265538472024e-14	55.65371024734982	2
wordsim353	0.08860356478870535	0.13916735468043975	0.03801890805463258	0.5263672376436471	20.679886685552407	3
SimLexScores	0.15915768884907222	7.144995952696827e-06	0.15603627595839678	1.081649134998021e-05	21.12112112112112	3
MayoTerms	0.5434812667026362	5.4493713466966274e-05	0.460903175201832	0.0008598122297070744	51.48514851485149	3
UMNSRS_relatedness_Terms	0.46003354904582694	3.955375483044275e-14	0.4458982419782965	2.8408769596797065e-13	58.603066439523	3
UMNSRS_similarity_Terms	0.4525844589968572	4.4495168645861374e-14	0.4441400108632403	1.4745448300245655e-13	55.65371024734982	3
wordsim353	0.08522352951171482	0.15494738711780257	0.031438155252043444	0.6003918189764974	20.679886685552407	4
SimLexScores	0.15395625545375324	1.4196340715679951e-05	0.14825607033430974	2.9376017345027732e-05	21.12112112112112	4
MayoTerms	0.5079525130017708	0.00019471845935180443	0.4464151602532461	0.0013036329026808215	51.48514851485149	4
UMNSRS_relatedness_Terms	0.48215976452789905	1.4963004532265202e-15	0.4749723806346221	4.449247206503944e-15	58.603066439523	4
UMNSRS_similarity_Terms	0.4810386274197769	6.102126322267131e-16	0.4753755033920652	1.479603972580264e-15	55.65371024734982	4
wordsim353	0.08095286959182495	0.17677273328504153	0.028154338830282937	0.638999808768058	20.679886685552407	5
SimLexScores	0.173713112375703	9.296937852529048e-07	0.17010445556936435	1.5667971839924376e-06	21.12112112112112	5
MayoTerms	0.5369245824314636	6.967933751088694e-05	0.4769270221237661	0.0005309352744179283	51.48514851485149	5
UMNSRS_relatedness_Terms	0.45901101113253645	4.5757644668016136e-14	0.45305795090656537	1.0584816412021236e-13	58.603066439523	5
UMNSRS_similarity_Terms	0.4596735024775562	1.5858478822066712e-14	0.46213017627995256	1.1029501181257832e-14	55.65371024734982	5
wordsim353	0.06436954841445583	0.2830900221349184	0.011890236237972682	0.8429835224432141	20.679886685552407	6
SimLexScores	0.1677514761001414	2.1891856295382255e-06	0.16359020045501754	3.911371445887883e-06	21.12112112112112	6
MayoTerms	0.45494585875120275	0.0010225518820021402	0.41784868554896726	0.0028134538858442712	51.48514851485149	6
UMNSRS_relatedness_Terms	0.4607136067954816	3.589119051709089e-14	0.45429026384965665	8.909796906157613e-14	58.603066439523	6
UMNSRS_similarity_Terms	0.47137410254439693	2.7395872012185622e-15	0.45783572766488184	2.0768871026065057e-14	55.65371024734982	6
wordsim353	0.06957821278896936	0.24585963459202737	0.01480177382117502	0.8052282048572719	20.679886685552407	7
SimLexScores	0.15125192246819774	2.0110887347466195e-05	0.15278722330082975	1.6514931217751403e-05	21.12112112112112	7
MayoTerms	0.4737849276497457	0.0005846574024105177	0.4117565520546856	0.0032873664978799945	51.48514851485149	7
UMNSRS_relatedness_Terms	0.45809695021189917	5.210129351471129e-14	0.4567122375742526	6.337913632387777e-14	58.603066439523	7
UMNSRS_similarity_Terms	0.448568348250571	7.899092376671977e-14	0.4371785115929891	3.8631235627547513e-13	55.65371024734982	7
wordsim353	0.06694396142088686	0.26423879345993884	0.016611234842654504	0.7819837681302959	20.679886685552407	8
SimLexScores	0.15752567529341246	8.883593121815406e-06	0.16090385241876806	5.646149679821484e-06	21.12112112112112	8
MayoTerms	0.5491111550946116	4.394305814619898e-05	0.5016027224955625	0.00024097521285145132	51.48514851485149	8
UMNSRS_relatedness_Terms	0.47334073253384434	5.677927007089306e-15	0.4752086401571354	4.294426773805648e-15	58.603066439523	8
UMNSRS_similarity_Terms	0.4787892186985596	8.692052710757967e-16	0.46938042580608547	3.7126797140954734e-15	55.65371024734982	8
wordsim353	0.0699600154658642	0.2432716427216165	0.012862753203897757	0.8303278995345162	20.679886685552407	9
SimLexScores	0.16690138872427976	2.4676093784490996e-06	0.16599205696375288	2.802894565284799e-06	21.12112112112112	9
MayoTerms	0.49474130066417177	0.0003019834139139147	0.4477974090292596	0.0012538613583309957	51.48514851485149	9
UMNSRS_relatedness_Terms	0.47096672426167063	8.077442656400112e-15	0.4699323168738217	9.410360931410757e-15	58.603066439523	9
UMNSRS_similarity_Terms	0.48333469854375904	4.2411671498237165e-16	0.475144806735592	1.5334346200684651e-15	55.65371024734982	9
wordsim353	0.07717292069968434	0.19792215747522116	0.033212356383527326	0.579978865381069	20.679886685552407	10
SimLexScores	0.16942388798209132	1.7267717745188102e-06	0.1670714447967863	2.4093286467177815e-06	21.12112112112112	10
MayoTerms	0.4648073292125603	0.0007661723392883728	0.3882071284633446	0.005845734408644087	51.48514851485149	10
UMNSRS_relatedness_Terms	0.47052578497237657	8.621382369810404e-15	0.4654852017907624	1.8040454584290774e-14	58.603066439523	10
UMNSRS_similarity_Terms	0.4568905124113	2.3844799193386922e-14	0.4514623530945211	5.227419309159112e-14	55.65371024734982	10
