Dataset	Pearson Cor	Pearson p-value	Spearman Cor	Spearman p-value	Out-Of-Vocabulary words ratio	Epoch
wordsim353	0.23410552420261543	0.0006077291376740786	0.2114153130219108	0.002016988940811971	40.226628895184135	1
SimLexScores	0.20894241646018888	2.6448301478753166e-07	0.23878392222877087	3.573455782586991e-09	40.34034034034034	1
MayoTerms	0.44591703647327563	0.01739172021271023	0.3282193751740131	0.08815770661603849	72.27722772277228	1
UMNSRS_relatedness_Terms	0.35246480153941084	1.1962392035959492e-05	0.33363336276973843	3.6353489058602964e-05	74.95741056218058	1
UMNSRS_similarity_Terms	0.29516744677299833	0.00013724088979135744	0.31026720503784455	5.867066738128158e-05	71.37809187279152	1
wordsim353	0.20573707207186226	0.0026738343948034195	0.1673426175508068	0.0149521020826468	40.226628895184135	2
SimLexScores	0.19511970823499383	1.589142804235568e-06	0.211006481394078	2.0019112661961538e-07	40.34034034034034	2
MayoTerms	0.4822211261001585	0.00935810460143712	0.3832879013926914	0.044079391358359206	72.27722772277228	2
UMNSRS_relatedness_Terms	0.4322188181457567	4.587442669027606e-08	0.4294431825159998	5.7102739376796444e-08	74.95741056218058	2
UMNSRS_similarity_Terms	0.313082129476249	4.9816350845495247e-05	0.3244269691782031	2.5334434546209564e-05	71.37809187279152	2
wordsim353	0.15598837789941591	0.023433467717037252	0.10646840058414608	0.1231365029682209	40.226628895184135	3
SimLexScores	0.16868978160039327	3.483726612024766e-05	0.17794406600105034	1.242629941361845e-05	40.34034034034034	3
MayoTerms	0.4662372475602152	0.012392286862143474	0.3928769482466901	0.03862857143149956	72.27722772277228	3
UMNSRS_relatedness_Terms	0.4493770386626704	1.133695026577199e-08	0.4469443749205089	1.3887405430015687e-08	74.95741056218058	3
UMNSRS_similarity_Terms	0.330384701947713	1.7568320523334428e-05	0.33370639200515984	1.4277241770632607e-05	71.37809187279152	3
wordsim353	0.15227004921209383	0.026992678080774088	0.1090284864324654	0.11432846652633792	40.226628895184135	4
SimLexScores	0.17657323591675395	1.4525406902639576e-05	0.18508767378923147	5.404595744711869e-06	40.34034034034034	4
MayoTerms	0.4280666370180001	0.02305729759845866	0.3679454264262935	0.054052785587962095	72.27722772277228	4
UMNSRS_relatedness_Terms	0.426507002851199	7.183220750341429e-08	0.4266645258482142	7.09571912345897e-08	74.95741056218058	4
UMNSRS_similarity_Terms	0.30984325200147855	6.01256532069514e-05	0.30692943545826235	7.107938228005954e-05	71.37809187279152	4
wordsim353	0.14272409574558922	0.03831317347006085	0.11483466915732135	0.09617857959656104	40.226628895184135	5
SimLexScores	0.1908608586542893	2.693156090151783e-06	0.2001501984634234	8.394682115676073e-07	40.34034034034034	5
MayoTerms	0.44524547129501446	0.017581786932495617	0.41534271516177285	0.027951737572575637	72.27722772277228	5
UMNSRS_relatedness_Terms	0.44262089922386044	1.984031713831214e-08	0.430765452854171	5.1459503883498254e-08	74.95741056218058	5
UMNSRS_similarity_Terms	0.3433615650406247	7.705868519918124e-06	0.33764679482384624	1.1128106509723988e-05	71.37809187279152	5
wordsim353	0.14105845293772123	0.04065148113489811	0.11848572971345737	0.08599126289169576	40.226628895184135	6
SimLexScores	0.1859117964651465	4.899434731599923e-06	0.19330066170898563	1.993590272336954e-06	40.34034034034034	6
MayoTerms	0.45502918860320163	0.014975900825948966	0.3597262434085803	0.06008026551813032	72.27722772277228	6
UMNSRS_relatedness_Terms	0.45758052162366647	5.65174491692743e-09	0.4512096412399241	9.719677099878398e-09	74.95741056218058	6
UMNSRS_similarity_Terms	0.3471644917164721	6.009833708710271e-06	0.33935449088781855	9.978350853913388e-06	71.37809187279152	6
wordsim353	0.15586444950352002	0.023545231555863983	0.12991796936246416	0.059571830817069134	40.226628895184135	7
SimLexScores	0.20281946682083396	5.943474540110742e-07	0.21055420830652252	2.128395179428177e-07	40.34034034034034	7
MayoTerms	0.42462272304432835	0.0243070810377422	0.36219199831389426	0.058219492566482824	72.27722772277228	7
UMNSRS_relatedness_Terms	0.42981085811353115	5.5476650478961585e-08	0.42785645811019424	6.465949676058904e-08	74.95741056218058	7
UMNSRS_similarity_Terms	0.3083576229349071	6.549575871041137e-05	0.3020335696351882	9.379166560034942e-05	71.37809187279152	7
wordsim353	0.14629537085433883	0.03368021063818633	0.10295339249450007	0.13607592898416576	40.226628895184135	8
SimLexScores	0.1977234157265279	1.1444544272689952e-06	0.20636494310011044	3.7301359538363297e-07	40.34034034034034	8
MayoTerms	0.3912146297145079	0.03953276840969539	0.2958905886376746	0.12631693917915993	72.27722772277228	8
UMNSRS_relatedness_Terms	0.4010959736027422	4.789934237567714e-07	0.3977351398066537	6.085481602376252e-07	74.95741056218058	8
UMNSRS_similarity_Terms	0.3135587024418347	4.844760117673132e-05	0.3068602808242668	7.136075683282472e-05	71.37809187279152	8
wordsim353	0.14790494403353716	0.03175302006459114	0.09331091346100993	0.17691479082649236	40.226628895184135	9
SimLexScores	0.1916284464997384	2.4510057696103046e-06	0.20567525356597943	4.086585527717329e-07	40.34034034034034	9
MayoTerms	0.4004762674087933	0.03470328529311234	0.32054813769081414	0.09629968131073567	72.27722772277228	9
UMNSRS_relatedness_Terms	0.4300461435841346	5.4459472594810474e-08	0.43162681753160825	4.807537410742446e-08	74.95741056218058	9
UMNSRS_similarity_Terms	0.32138067717213226	3.045966163947515e-05	0.3160296207644551	4.1899433148348345e-05	71.37809187279152	9
wordsim353	0.13673723050774736	0.04728355573859699	0.09917522188751185	0.1511198494220449	40.226628895184135	10
SimLexScores	0.18316386128573658	6.784509623327986e-06	0.19140728184388783	2.518550243080565e-06	40.34034034034034	10
MayoTerms	0.3273641800273357	0.08903859972613844	0.22164396871099884	0.2569930084818312	72.27722772277228	10
UMNSRS_relatedness_Terms	0.4109409739906998	2.339552148470169e-07	0.42045174421643544	1.1452147062076555e-07	74.95741056218058	10
UMNSRS_similarity_Terms	0.3298829538648189	1.812372482045643e-05	0.32166784041368585	2.993774344994449e-05	71.37809187279152	10
