Dataset	Pearson Cor	Pearson p-value	Spearman Cor	Spearman p-value	Out-Of-Vocabulary words ratio	Epoch
wordsim353	0.24310140363250526	0.00034235957353984504	0.2046551526404002	0.002690086398523344	39.6600566572238	1
SimLexScores	0.20018103967837758	8.540919817859223e-07	0.22614483728466656	2.4459731274165095e-08	40.44044044044044	1
MayoTerms	0.48009558085670645	0.015146131343448868	0.33821303630954935	0.09820177310035197	75.24752475247524	1
UMNSRS_relatedness_Terms	0.226965342925963	0.005701192592908335	0.18603965866543995	0.024065092029857824	74.95741056218058	1
UMNSRS_similarity_Terms	0.2515678958530981	0.0012412085950083357	0.25454973982333107	0.0010799807142915147	71.37809187279152	1
wordsim353	0.14803252046395035	0.030798761014450237	0.10587690350957236	0.12344759394366815	39.6600566572238	2
SimLexScores	0.16447294908392357	5.554647013679793e-05	0.17400473545757772	1.9713799491576782e-05	40.44044044044044	2
MayoTerms	0.4501088495204271	0.023963048207521084	0.35015449886717587	0.08617175349279803	75.24752475247524	2
UMNSRS_relatedness_Terms	0.3654181864787549	5.338262765920417e-06	0.3531954079441688	1.1440848252441128e-05	74.95741056218058	2
UMNSRS_similarity_Terms	0.30795399166891185	6.703061697586324e-05	0.3123037384430611	5.213029239992436e-05	71.37809187279152	2
wordsim353	0.176105137797801	0.010018108401097216	0.13487257043969358	0.04932071830651453	39.6600566572238	3
SimLexScores	0.1440041675818219	0.000425671058006096	0.1501507583646045	0.0002371729299852456	40.44044044044044	3
MayoTerms	0.4496971043081055	0.024108053955780966	0.3412947040663562	0.09498403266632931	75.24752475247524	3
UMNSRS_relatedness_Terms	0.4345085994072079	3.823706123903536e-08	0.41006058831603553	2.4967183504822336e-07	74.95741056218058	3
UMNSRS_similarity_Terms	0.3404656231082728	9.291619602641604e-06	0.3441078134857182	7.340874231703476e-06	71.37809187279152	3
wordsim353	0.13137472483676427	0.05557240381785196	0.09746345353520211	0.15635466379655338	39.6600566572238	4
SimLexScores	0.15026024730458362	0.00023466647000060383	0.1562626431900177	0.00012962234000255977	40.44044044044044	4
MayoTerms	0.4438800184738981	0.026233551910047104	0.3066259418022794	0.1360085597941383	75.24752475247524	4
UMNSRS_relatedness_Terms	0.4344845512641851	3.8310528166919085e-08	0.419688605335548	1.2137679098737505e-07	74.95741056218058	4
UMNSRS_similarity_Terms	0.3498145793647801	5.044226064656824e-06	0.34814983127680627	5.631963694372691e-06	71.37809187279152	4
wordsim353	0.11077579114522634	0.10692461389381368	0.08609318815286499	0.21078135805009246	39.6600566572238	5
SimLexScores	0.15290847427290277	0.0001810889428580377	0.15260513656790126	0.00018658565535748414	40.44044044044044	5
MayoTerms	0.4002718590807429	0.04740327177722418	0.2969957300622581	0.14938147580280403	75.24752475247524	5
UMNSRS_relatedness_Terms	0.45955484418971176	4.766793415938841e-09	0.45126064309582503	9.678006172492368e-09	74.95741056218058	5
UMNSRS_similarity_Terms	0.3561578756973756	3.2953324505065725e-06	0.3540477336332857	3.8005777793927985e-06	71.37809187279152	5
wordsim353	0.09463422152374099	0.16878943760636445	0.07247147113901002	0.29241090308010875	39.6600566572238	6
SimLexScores	0.15002435007304066	0.00024009786991279397	0.15212733362242603	0.00019556207272147623	40.44044044044044	6
MayoTerms	0.37618274546796027	0.06383006834815425	0.21032382440206604	0.31291434491379405	75.24752475247524	6
UMNSRS_relatedness_Terms	0.4324800977175632	4.493408480704205e-08	0.4177732023028257	1.4035666306458786e-07	74.95741056218058	6
UMNSRS_similarity_Terms	0.3539238583771037	3.832415719722758e-06	0.3508708544266729	4.702001371053584e-06	71.37809187279152	6
wordsim353	0.11293937426584275	0.10020506935040537	0.08554802143127849	0.2136961003461284	39.6600566572238	7
SimLexScores	0.16952074121305616	3.2318878416323585e-05	0.17428063734611168	1.911537961687092e-05	40.44044044044044	7
MayoTerms	0.3347444570517641	0.10191987461892797	0.20146402960124637	0.33419444424898914	75.24752475247524	7
UMNSRS_relatedness_Terms	0.49096752871079136	2.7295422128186743e-10	0.4791775478498716	8.261849066582734e-10	74.95741056218058	7
UMNSRS_similarity_Terms	0.3757658350368318	8.329768682323456e-07	0.37100614347187316	1.172875580787711e-06	71.37809187279152	7
wordsim353	0.08826476594589039	0.1994544693119151	0.06679565223010091	0.33194781170110266	39.6600566572238	8
SimLexScores	0.15298784474315413	0.00017967596145102515	0.15589487844885916	0.0001345074523854863	40.44044044044044	8
MayoTerms	0.32223334095184886	0.11620171863664129	0.2006936126620447	0.3360850579509229	75.24752475247524	8
UMNSRS_relatedness_Terms	0.4724484402701304	1.5258937425092285e-09	0.4602086353699924	4.504351409471667e-09	74.95741056218058	8
UMNSRS_similarity_Terms	0.3715648044467756	1.1270167659356147e-06	0.36519715421624516	1.767874896227156e-06	71.37809187279152	8
wordsim353	0.09589481889670208	0.16316090010683634	0.07123460085495499	0.3007472226363087	39.6600566572238	9
SimLexScores	0.1467371192756274	0.00032911697438073	0.14718001340684372	0.0003155452114297817	40.44044044044044	9
MayoTerms	0.32324962893096265	0.1149896941356239	0.1845148569388088	0.3772589431416187	75.24752475247524	9
UMNSRS_relatedness_Terms	0.49237733078288876	2.384194838920979e-10	0.48150663260267884	6.660421817665476e-10	74.95741056218058	9
UMNSRS_similarity_Terms	0.36822148165689284	1.4292545099735691e-06	0.3576127255817105	2.98488725487442e-06	71.37809187279152	9
wordsim353	0.08628025905532802	0.20978779098443198	0.0744099796866103	0.2796584276755567	39.6600566572238	10
SimLexScores	0.15912626998103419	9.690649518655475e-05	0.1644571514593986	5.56393218730795e-05	40.44044044044044	10
MayoTerms	0.3202399832335264	0.11860614529976607	0.20724215664525916	0.3202195381797274	75.24752475247524	10
UMNSRS_relatedness_Terms	0.4677858421471836	2.3162811532860082e-09	0.45231845936636206	8.8514770366001e-09	74.95741056218058	10
