Dataset	Pearson Cor	Pearson p-value	Spearman Cor	Spearman p-value	Out-Of-Vocabulary words ratio	Epoch
wordsim353	0.276095356418325	4.398921027652917e-05	0.2552948077038497	0.0001654949275128745	39.6600566572238	1
SimLexScores	0.18951357403634705	3.235670327740451e-06	0.21844180239797867	7.354161107928827e-08	40.44044044044044	1
MayoTerms	0.49716040345515966	0.01145720651277582	0.40446889308089623	0.04491645053321964	75.24752475247524	1
UMNSRS_relatedness_Terms	0.2897841606932686	0.0003706359518664476	0.2626538910167069	0.0013092495416159795	74.95741056218058	1
UMNSRS_similarity_Terms	0.2857185841794118	0.00022818652481061634	0.29071479076489265	0.00017478122122244243	71.37809187279152	1
wordsim353	0.22144167732184242	0.0011407230714436968	0.17019167460516432	0.012867214471287313	39.6600566572238	2
SimLexScores	0.18821005864923257	3.788563778269798e-06	0.2036174452374091	5.474611032784738e-07	40.44044044044044	2
MayoTerms	0.503451316451307	0.01030059267830813	0.4356707791185654	0.02948740824607088	75.24752475247524	2
UMNSRS_relatedness_Terms	0.3824338877797842	1.7514688448233058e-06	0.3654037410807412	5.343173599950416e-06	74.95741056218058	2
UMNSRS_similarity_Terms	0.3135330699039109	4.852031168924382e-05	0.31910065104148294	3.491822066062897e-05	71.37809187279152	2
wordsim353	0.19946558582086935	0.0034622184676080395	0.14736048969316473	0.03157499208004569	39.6600566572238	3
SimLexScores	0.1841283553839054	6.16541286298167e-06	0.19590748859159327	1.4691540964843588e-06	40.44044044044044	3
MayoTerms	0.4692490145170404	0.017961008340139296	0.3929126389928706	0.0520230828230736	75.24752475247524	3
UMNSRS_relatedness_Terms	0.4170940386209238	1.4774478105392921e-07	0.4047847296667323	3.6719605201072993e-07	74.95741056218058	3
UMNSRS_similarity_Terms	0.3444067692248268	7.199298774821467e-06	0.3618876110178857	2.22551344058099e-06	71.37809187279152	3
wordsim353	0.18295208287160863	0.0074280594862958784	0.14686065004524093	0.03216308143591911	39.6600566572238	4
SimLexScores	0.17948814556919587	1.0588142421204419e-05	0.19007133474708124	3.0234684731703432e-06	40.44044044044044	4
MayoTerms	0.48894027227559955	0.013128486452910879	0.40793576930730396	0.0429406438782888	75.24752475247524	4
UMNSRS_relatedness_Terms	0.4507126433341619	1.0134886055938631e-08	0.44236365267755867	2.0262777014732794e-08	74.95741056218058	4
UMNSRS_similarity_Terms	0.36543048986223575	1.7392438405919047e-06	0.37115856593047564	1.1601902829725315e-06	71.37809187279152	4
wordsim353	0.18297492585974684	0.00742052493282277	0.15640603502354303	0.02241216029303843	39.6600566572238	5
SimLexScores	0.18305570544318694	6.994842997143201e-06	0.1915576614602447	2.5210488241616403e-06	40.44044044044044	5
MayoTerms	0.47926393989918964	0.015348259164522251	0.3771190917392356	0.06311909832259954	75.24752475247524	5
UMNSRS_relatedness_Terms	0.45720495331218747	5.837110250414802e-09	0.44551821191291	1.5630211290195962e-08	74.95741056218058	5
UMNSRS_similarity_Terms	0.33789161063032863	1.0955911937443472e-05	0.3390567025659192	1.0170398937121987e-05	71.37809187279152	5
wordsim353	0.18436036125998062	0.006976084060012657	0.16094060514626082	0.018754681965591633	39.6600566572238	6
SimLexScores	0.18656218942451275	4.617535932109837e-06	0.19956872887043103	9.237854009331914e-07	40.44044044044044	6
MayoTerms	0.45361482551294174	0.022756686592446423	0.34630241417116725	0.0899241557932521	75.24752475247524	6
UMNSRS_relatedness_Terms	0.45018224954345576	1.05967971383773e-08	0.4488484442074755	1.184959888930795e-08	74.95741056218058	6
UMNSRS_similarity_Terms	0.3533007103746765	3.996453097979894e-06	0.36076843500240635	2.4042952113567653e-06	71.37809187279152	6
wordsim353	0.19643374305286465	0.004001037567764715	0.1700886020814931	0.012922621559246148	39.6600566572238	7
SimLexScores	0.1881586607755133	3.812117964916185e-06	0.19911445638247527	9.789865048241563e-07	40.44044044044044	7
MayoTerms	0.4293111589154684	0.03222430755343757	0.35862908519839465	0.07833298967319378	75.24752475247524	7
UMNSRS_relatedness_Terms	0.4764753347953091	1.058688905558962e-09	0.46578106036657113	2.7662984345524775e-09	74.95741056218058	7
UMNSRS_similarity_Terms	0.36173087992895725	2.2497658327695796e-06	0.35949824784738565	2.623734079579081e-06	71.37809187279152	7
wordsim353	0.17869313803398232	0.008957692860610567	0.148281933218033	0.03051484453950663	39.6600566572238	8
SimLexScores	0.18603224801948798	4.919115441513029e-06	0.19512592798684472	1.6202928235424211e-06	40.44044044044044	8
MayoTerms	0.4578616657858021	0.021361790431313372	0.4036984761416945	0.04536507530198317	75.24752475247524	8
UMNSRS_relatedness_Terms	0.4839698368285801	5.293843192659512e-10	0.4784597439520072	8.826230530213442e-10	74.95741056218058	8
UMNSRS_similarity_Terms	0.3753351228919682	8.593680879182675e-07	0.373761038279207	9.627647221675826e-07	71.37809187279152	8
wordsim353	0.16342523716766832	0.016979612507984774	0.1282821381129064	0.06163277860539159	39.6600566572238	9
SimLexScores	0.19004691784363673	3.0324724281323677e-06	0.1963660052857633	1.386880330727635e-06	40.44044044044044	9
MayoTerms	0.4565707605598802	0.021778243908903695	0.4167955641081235	0.038201686737226334	75.24752475247524	9
UMNSRS_relatedness_Terms	0.478802492313703	8.552249429483141e-10	0.4712703712276077	1.696605406112739e-09	74.95741056218058	9
UMNSRS_similarity_Terms	0.36521026174739607	1.766254736695283e-06	0.35306404424767523	4.060482206153676e-06	71.37809187279152	9
wordsim353	0.18232043780423662	0.007639118902279801	0.1531971265757537	0.025358539801614503	39.6600566572238	10
SimLexScores	0.18986415362213857	3.1006878832219493e-06	0.1950831725940418	1.6289770901053318e-06	40.44044044044044	10
MayoTerms	0.44926148474590355	0.02426223896937201	0.347072831110369	0.08916403514787967	75.24752475247524	10
UMNSRS_relatedness_Terms	0.4743194291493314	1.2883040780384878e-09	0.46467602015538506	3.0492213467578382e-09	74.95741056218058	10
UMNSRS_similarity_Terms	0.3715715062793863	1.126477148895902e-06	0.36304065869083224	2.054585157140284e-06	71.37809187279152	10
